time,light,temperature
1277714700,673.31,25.72
1277714760,643.34,25.72
1277714820,687.29,25.40
1277714880,762.30,25.40
1277714940,783.95,25.40
1277715000,746.70,25.40
1277715060,772.55,25.08
1277715120,850.44,25.08
1277715180,882.20,25.08
1277715240,883.31,25.08
1277715300,842.28,25.08
1277715360,780.17,25.08
1277715420,738.81,25.08
1277715480,657.71,25.08
1277715540,597.67,25.08
1277715600,599.17,25.08
1277715660,608.13,24.76
1277715720,608.13,24.76
1277715780,579.52,24.76
1277715840,545.58,24.76
1277715900,528.28,24.76
1277715960,523.53,24.76
1277716020,507.56,24.76
1277716080,486.53,24.76
1277716140,481.63,24.76
1277716200,481.63,24.76
1277716260,499.51,24.76
1277716320,523.53,24.76
1277716380,531.44,24.76
1277716440,526.70,24.76
1277716500,533.02,24.76
1277716560,536.17,24.76
1277716620,521.94,24.76
1277716680,510.77,24.76
1277716740,476.72,24.76
1277716800,446.91,24.76
1277716860,438.53,24.76
1277716920,445.24,24.76
1277716980,423.32,24.76
1277717040,390.74,24.76
1277717100,369.83,24.76
1277717160,366.32,24.76
1277717220,378.57,24.76
1277717280,389.01,24.76
1277717340,385.54,24.76
1277717400,373.33,24.76
1277717460,346.88,24.76
1277717520,310.99,24.76
1277717580,272.52,24.76
1277717640,248.31,24.76
1277717700,266.96,24.76
1277717760,314.61,24.76
1277717820,341.55,24.76
1277717880,316.42,24.76
1277717940,300.08,24.76
1277718000,287.27,24.76
1277718060,261.39,24.76
1277718120,242.68,24.76
1277718180,242.68,24.76
1277718240,276.22,24.76
1277718300,314.61,24.76
1277718360,320.03,24.76
1277718420,330.82,24.76
1277718480,341.55,24.76
1277718540,353.98,24.76
1277718600,345.11,24.76
1277718660,321.83,24.43
1277718720,301.90,24.11
1277718780,320.03,24.11
1277718840,348.66,23.79
1277718900,368.08,23.47
1277718960,361.04,23.47
1277719020,378.57,23.14
1277719080,414.81,22.82
1277719140,428.41,22.82
1277719200,425.02,22.82
1277719260,446.91,22.50
1277719320,481.63,22.50
1277719380,539.31,22.50
1277719440,565.74,22.50
1277719500,529.86,22.18
1277719560,466.85,22.18
1277719620,418.22,22.18
1277719680,399.38,21.86
1277719740,387.27,21.86
1277719800,401.10,21.86
1277719860,433.47,21.86
1277719920,441.89,21.86
1277719980,430.10,21.53
1277720040,423.32,21.53
1277720100,414.81,21.53
1277720160,402.82,21.53
1277720220,373.33,21.53
1277720280,359.28,21.53
1277720340,366.32,21.21
1277720400,359.28,21.21
1277720460,352.21,21.21
1277720520,339.76,21.21
1277720580,320.03,21.21
1277720640,341.55,21.21
1277720700,389.01,21.21
1277720760,456.91,20.89
1277720820,475.08,20.89
1277720880,466.85,20.89
1277720940,450.25,20.89
1277721000,418.22,20.89
1277721060,369.83,20.89
1277721120,341.55,20.89
1277721180,320.03,20.89
1277721240,320.03,20.89
1277721300,332.61,20.57
1277721360,325.43,20.89
1277721420,303.72,20.57
1277721480,246.44,20.57
1277721540,216.19,20.57
1277721600,185.49,20.57
1277721660,156.29,20.57
1277721720,146.46,20.89
1277721780,164.11,20.89
1277721840,206.65,21.21
1277721900,268.82,21.53
1277721960,329.03,21.53
1277722020,334.40,21.53
1277722080,290.94,21.86
1277722140,252.06,21.86
1277722200,221.90,21.86
1277722260,202.82,21.86
1277722320,187.42,21.86
1277722380,181.62,21.86
1277722440,183.56,22.18
1277722500,191.28,22.18
1277722560,206.65,22.18
1277722620,233.26,22.18
1277722680,261.39,22.18
1277722740,287.27,22.50
1277722800,307.36,22.50
1277722860,310.99,22.50
1277722920,309.17,22.50
1277722980,309.17,22.50
1277723040,305.54,22.50
1277723100,314.61,22.50
1277723160,314.61,22.82
1277723220,316.42,22.82
1277723280,303.72,22.82
1277723340,283.59,22.82
1277723400,301.90,22.82
1277723460,368.08,22.82
1277723520,446.91,22.82
1277723580,486.53,22.82
1277723640,471.79,23.14
1277723700,435.16,23.14
1277723760,404.54,23.14
1277723820,399.38,23.14
1277723880,364.56,23.14
1277723940,305.54,23.14
1277724000,253.93,23.14
