Temperature,Time
25.0,1253248176
25.0,1253248176
25.0,1253248176
25.0,1253248176
25.0,1253248176
25.0,1253248176
25.0,1253248177
25.0,1253248177
25.0,1253248177
25.0,1253248177
25.0,1253248177
25.0,1253248177
25.0,1253248177
25.0,1253248178
25.0,1253248178
25.0,1253248178
25.0,1253248178
25.0,1253248178
25.0,1253248178
25.0,1253248178
25.0,1253248179
25.0,1253248179
25.0,1253248179
25.0,1253248179
25.0,1253248179
25.0,1253248179
25.0,1253248179
25.0,1253248180
25.0,1253248180
25.0,1253248180
25.0,1253248180
25.0,1253248180
25.0,1253248180
25.0,1253248180
25.0,1253248181
25.0,1253248181
25.0,1253248181
25.0,1253248181
25.0,1253248181
25.0,1253248181
25.0,1253248181
25.0,1253248182
25.0,1253248182
25.0,1253248182
25.0,1253248182
25.0,1253248182
25.0,1253248182
25.0,1253248182
25.0,1253248183
25.0,1253248183
25.0,1253248183
25.0,1253248183
25.0,1253248183
25.0,1253248183
25.0,1253248183
25.0,1253248184
25.0,1253248184
25.0,1253248184
25.0,1253248184
25.0,1253248184
25.0,1253248184
25.0,1253248184
25.0,1253248185
25.0,1253248185
25.0,1253248185
25.0,1253248185
25.0,1253248185
25.0,1253248186
25.0,1253248185
25.0,1253248186
25.0,1253248186
25.0,1253248186
25.0,1253248186
25.0,1253248187
25.0,1253248187
25.0,1253248187
25.0,1253248187
25.0,1253248187
25.0,1253248187
25.0,1253248187
25.0,1253248188
25.0,1253248188
25.0,1253248188
25.0,1253248188
25.0,1253248188
25.0,1253248188
25.0,1253248188
25.0,1253248189
25.0,1253248189
25.0,1253248189
25.0,1253248189
25.0,1253248189
25.0,1253248189
25.0,1253248189
25.0,1253248190
25.0,1253248190
25.0,1253248190
25.0,1253248190
25.0,1253248190
25.0,1253248190
25.0,1253248190
25.0,1253248191
25.0,1253248191
25.0,1253248191
25.0,1253248191
25.0,1253248191
25.0,1253248191
25.0,1253248191
25.0,1253248192
25.0,1253248192
25.0,1253248192
25.0,1253248192
25.0,1253248192
25.0,1253248192
25.0,1253248192
25.0,1253248193
25.0,1253248193
25.0,1253248193
25.0,1253248193
25.0,1253248193
25.0,1253248193
25.0,1253248193
25.0,1253248194
25.0,1253248194
25.0,1253248194
25.0,1253248194
25.0,1253248194
25.0,1253248194
25.0,1253248194
25.0,1253248195
25.0,1253248195
25.0,1253248195
25.0,1253248195
25.0,1253248195
25.0,1253248195
25.0,1253248195
25.0,1253248196
25.0,1253248196
25.0,1253248196
25.0,1253248196
25.0,1253248196
25.0,1253248196
25.0,1253248196
25.0,1253248197
25.0,1253248197
