time,latitude,longitude,light,temperature,temperature probe,altitude
06/28/2010 16:03:54,,,1053.44,30.23,34.752914398175316159250585480093677, 
06/28/2010 16:04:59,42.65755,-71.32392,1061.19,32.17,36.582176299923920595533498759305211,26
06/28/2010 16:06:04,42.65862,-71.32536,1062.71,33.46,37.177247604550632911392405063291139,44
06/28/2010 16:07:08,42.664394,-71.32297,1062.71,34.42,37.177247604550632911392405063291139,33
06/28/2010 16:08:13,42.665096,-71.32683,1061.95,35.07,36.954930646544321608040201005025126,40
06/28/2010 16:09:18,42.675667,-71.308556,1062.71,35.71,36.656951523152636815920398009950249,52
06/28/2010 16:10:22,42.670338,-71.30404,1062.71,36.04,36.357171745839211822660098522167488,56
06/28/2010 16:11:27,42.679485,-71.3081,1061.95,36.36,36.206599422801568627450980392156863,54
06/28/2010 16:12:32,42.685196,-71.31064,1062.71,36.68,36.055568421512195121951219512195122,57
06/28/2010 16:13:36,42.694546,-71.31282,1063.47,37.00,35.828155954093801452784503631961259,49
06/28/2010 16:14:41,42.703564,-71.31489,1064.23,37.32,35.675966455584337349397590361445783,50
06/28/2010 16:15:45,42.71307,-71.329994,1065.74,37.32,35.599696372596923076923076923076923,57
06/28/2010 16:16:50,42.720417,-71.319786,1065.74,37.00,35.599696372596923076923076923076923,48
06/28/2010 16:17:54,42.730232,-71.324,1062.71,37.32,35.446803940902966507177033492822967,53
06/28/2010 16:18:59,42.7362,-71.3129,1065.74,37.65,35.293439726095238095238095238095238,57
06/28/2010 16:20:04,42.74292,-71.302,1064.99,37.65,35.216579925414774346793349168646081,53
06/28/2010 16:21:08,42.74455,-71.28603,1064.99,37.97,35.216579925414774346793349168646081,71
06/28/2010 16:22:13,42.74835,-71.273636,1061.95,37.97,35.139601255298957345971563981042654,75
06/28/2010 16:23:18,42.757534,-71.26538,1064.23,37.97,34.907949024264705882352941176470588,86
06/28/2010 16:24:22,42.762516,-71.252594,1064.23,37.97,34.907949024264705882352941176470588,53
06/28/2010 16:25:27,42.765347,-71.24,703.84,37.97,34.830491886436431924882629107981221,53
06/28/2010 16:26:32,42.766335,-71.2435,1064.23,37.65,34.597397221355198135198135198135198,50
06/28/2010 16:27:36,42.7715,-71.236946,1060.42,37.65,34.752914398175316159250585480093677,55
06/28/2010 16:28:41,42.780785,-71.239105,1064.23,37.97,34.907949024264705882352941176470588,59
06/28/2010 16:29:46,42.786003,-71.242966,1059.65,37.97,34.985286102297358490566037735849057,86
06/28/2010 16:30:51,42.788418,-71.24143,634.64,37.65,34.597397221355198135198135198135198,77
06/28/2010 16:31:55,42.78858,-71.24145,2.10,35.71,31.465366119037264957264957264957265,65
06/28/2010 16:33:00,42.788647,-71.24145,22.98,34.75,30.630838512803012552301255230125523,66
06/28/2010 16:34:04,42.788597,-71.24138,214.29,34.10,30.293332140494937759336099585062241,62
06/28/2010 16:35:09,42.788597,-71.24132,220.00,33.78,29.697566216779100204498977505112474,87
06/28/2010 16:36:14,42.788567,-71.24138,212.38,33.13,30.377907891632474012474012474012474,72
06/28/2010 16:37:18,42.788567,-71.24135,206.65,32.49,30.377907891632474012474012474012474,68
06/28/2010 16:38:23,42.788616,-71.24135,204.73,31.52,29.953696698649218106995884773662551,78
06/28/2010 16:39:27,42.78863,-71.2414,206.65,30.88,30.038805773365979381443298969072165,90
06/28/2010 16:40:32,42.788567,-71.24142,212.38,30.88,29.697566216779100204498977505112474,82
06/28/2010 16:41:37,42.788567,-71.2414,216.19,30.56,30.798796872709915966386554621848739,84
06/28/2010 16:42:41,42.788517,-71.24145,220.00,30.56,30.123781256412561983471074380165289,75
06/28/2010 16:43:46,42.788662,-71.24145,223.80,30.56,30.293332140494937759336099585062241,97
06/28/2010 16:44:51,42.788616,-71.24138,233.26,30.56,30.462350751333333333333333333333333,87
06/28/2010 16:45:55,42.788616,-71.24142,305.54,30.56,29.611921074653061224489795918367347,92
06/28/2010 16:47:00,42.78855,-71.2414,248.31,30.56,30.630838512803012552301255230125523,68
06/28/2010 16:48:04,42.788616,-71.24132,253.93,30.56,29.697566216779100204498977505112474,84
06/28/2010 16:49:09,42.78874,-71.24142,255.79,29.91,29.783077089725901639344262295081967,83
06/28/2010 16:50:14,42.78858,-71.24133,250.19,29.91,30.038805773365979381443298969072165,94
06/28/2010 16:51:18,42.7885,-71.24133,240.80,29.91,30.123781256412561983471074380165289,73
06/28/2010 16:52:23,42.7885,-71.24132,229.48,29.91,29.354178380584056795131845841784990,82
06/28/2010 16:53:28,42.788616,-71.24132,223.80,29.91,29.526141497413075356415478615071283,102
06/28/2010 16:54:32,42.78855,-71.24142,225.69,29.91,29.611921074653061224489795918367347,78
06/28/2010 16:55:37,42.788597,-71.24136,223.80,29.59,29.783077089725901639344262295081967,74
06/28/2010 16:56:41,42.788597,-71.24136,220.00,29.59,30.123781256412561983471074380165289,96
06/28/2010 16:57:46,42.78858,-71.24132,220.00,29.59,30.123781256412561983471074380165289,68
06/28/2010 16:58:51,42.78858,-71.24143,220.00,29.59,29.783077089725901639344262295081967,77
06/28/2010 16:59:55,42.78858,-71.24146,220.00,29.59,30.123781256412561983471074380165289,93
06/28/2010 17:01:00,42.78855,-71.2415,223.80,29.59,29.008631772508370221327967806841046,112
06/28/2010 17:02:04,42.788597,-71.24143,221.90,29.59,29.267994515816356275303643724696356,68
06/28/2010 17:03:09,42.78868,-71.24152,218.10,29.59,30.038805773365979381443298969072165,70
06/28/2010 17:04:14,42.78858,-71.24146,210.47,29.59,29.868453860791088295687885010266940,88
