time,lat,lon,light,accel,temp,sound,external
Jul 6 2009 03:29:25,0.0,0.0,0.80,0.00,16.14,0.00,-30.93
Jul 6 2009 03:29:25,0.0,0.0,1.00,0.00,16.14,0.00,-30.93
Jul 6 2009 03:29:25,0.0,0.0,4.95,0.00,16.14,0.00,-30.93
Jul 6 2009 03:29:25,0.0,0.0,0.76,0.00,16.14,0.00,-30.93
Jul 6 2009 03:29:25,0.0,0.0,3.39,0.00,16.14,0.00,-30.93
Jul 6 2009 03:29:25,0.0,0.0,4.87,0.00,16.14,0.00,-30.93
Jul 6 2009 03:29:25,0.0,0.0,3.31,0.00,16.14,0.00,-30.93
Jul 6 2009 03:29:26,0.0,0.0,0.84,40.00,16.14,0.00,-30.93
Jul 6 2009 03:29:26,0.0,0.0,0.76,0.00,16.14,0.00,-30.93
Jul 6 2009 03:29:26,0.0,0.0,0.80,25.00,16.14,0.00,-30.93
