time,acc
"Jul 1 2009 15:08:52",2.75
"Jul 1 2009 15:08:52.25",0.76
"Jul 1 2009 15:08:52.5",2.79
"Jul 1 2009 15:08:52.75",4.79
"Jul 1 2009 15:08:53",7.58
"Jul 1 2009 15:08:53.25",0.96
"Jul 1 2009 15:08:53.5",4.79
"Jul 1 2009 15:08:53.75",2.67
"Jul 1 2009 15:08:54",0.84
"Jul 1 2009 15:08:54.25",2.71
"Jul 1 2009 15:08:54.5",0.88
"Jul 1 2009 15:08:54.75",2.63
"Jul 1 2009 15:08:55",0.64
"Jul 1 2009 15:08:55.25",2.95
"Jul 1 2009 15:08:55.5",0.60
"Jul 1 2009 15:08:55.75",1.00
"Jul 1 2009 15:08:56",9.70
"Jul 1 2009 15:08:56.25",0.68
"Jul 1 2009 15:08:56.5",4.91
"Jul 1 2009 15:08:56.75",0.60
"Jul 1 2009 15:08:57",6.66
"Jul 1 2009 15:08:57.25",0.72
"Jul 1 2009 15:08:57.5",0.84
"Jul 1 2009 15:08:57.75",4.71
"Jul 1 2009 15:08:58",0.68
"Jul 1 2009 15:08:58.25",5.07
"Jul 1 2009 15:08:58.5",4.71
"Jul 1 2009 15:08:58.75",0.76
"Jul 1 2009 15:08:59",9.82
"Jul 1 2009 15:08:59.25",0.64
"Jul 1 2009 15:08:59.5",6.94
"Jul 1 2009 15:08:59.75",0.64
"Jul 1 2009 15:09:00",9.94
"Jul 1 2009 15:09:00.25",0.72
"Jul 1 2009 15:09:00.5",0.76
