time,
06/29/2010 19:29:19,-31.038620501360583711615487316421896
06/29/2010 19:29:20,-31.038620501360583711615487316421896
06/29/2010 19:29:21,-31.038620501360583711615487316421896
06/29/2010 19:29:22,-31.038620501360583711615487316421896
06/29/2010 19:29:23,-31.198127491666666666666666666666667
06/29/2010 19:29:24,-31.198127491666666666666666666666667
06/29/2010 19:29:25,-31.038620501360583711615487316421896
06/29/2010 19:29:26,-31.198127491666666666666666666666667
06/29/2010 19:29:27,-31.198127491666666666666666666666667
06/29/2010 19:29:28,-31.038620501360583711615487316421896
06/29/2010 19:29:29,-31.198127491666666666666666666666667
06/29/2010 19:29:30,-31.038620501360583711615487316421896
06/29/2010 19:29:31,-31.038620501360583711615487316421896
06/29/2010 19:29:33,-31.038620501360583711615487316421896
06/29/2010 19:29:34,-31.038620501360583711615487316421896
06/29/2010 19:29:35,-26.954483847795750484094052558782849
06/29/2010 19:29:36,-19.875545788264634319526627218934911
06/29/2010 19:29:37,-20.168921934208769321533923303834808
06/29/2010 19:29:38,-20.757749157451246920821114369501466
06/29/2010 19:29:39,-21.646192549275758139534883720930233
06/29/2010 19:29:40,-21.349349743820869970845481049562682
06/29/2010 19:29:41,-21.497684167678643959243085880640466
06/29/2010 19:29:42,-21.497684167678643959243085880640466
06/29/2010 19:29:43,-21.497684167678643959243085880640466
06/29/2010 19:29:44,-21.497684167678643959243085880640466
06/29/2010 19:29:46,-21.497684167678643959243085880640466
06/29/2010 19:29:47,-21.497684167678643959243085880640466
06/29/2010 19:29:48,-21.497684167678643959243085880640466
06/29/2010 19:29:49,-18.418997764324848048048048048048048
06/29/2010 19:29:50,-15.698607459533422565687789799072643
06/29/2010 19:29:51,-15.982083096499595069337442218798151
06/29/2010 19:29:52,-15.982083096499595069337442218798151
06/29/2010 19:29:53,-15.982083096499595069337442218798151
06/29/2010 19:29:54,-15.982083096499595069337442218798151
06/29/2010 19:29:55,-15.982083096499595069337442218798151
06/29/2010 19:29:56,-15.982083096499595069337442218798151
06/29/2010 19:29:57,-15.982083096499595069337442218798151
06/29/2010 19:29:58,-15.982083096499595069337442218798151
06/29/2010 19:30:00,-15.982083096499595069337442218798151
06/29/2010 19:30:01,-15.982083096499595069337442218798151
06/29/2010 19:30:02,-15.982083096499595069337442218798151
06/29/2010 19:30:03,-15.982083096499595069337442218798151
06/29/2010 19:30:04,-15.982083096499595069337442218798151
06/29/2010 19:30:05,-15.982083096499595069337442218798151
06/29/2010 19:30:06,-9.495978349019837873754152823920266
06/29/2010 19:30:07,-12.900692543177882615629984051036683
06/29/2010 19:30:08,-12.900692543177882615629984051036683
06/29/2010 19:30:09,-12.900692543177882615629984051036683
06/29/2010 19:30:10,-12.900692543177882615629984051036683
06/29/2010 19:30:11,-12.900692543177882615629984051036683
06/29/2010 19:30:13,-12.900692543177882615629984051036683
06/29/2010 19:30:14,-12.900692543177882615629984051036683
06/29/2010 19:30:15,-12.900692543177882615629984051036683
06/29/2010 19:30:16,-12.900692543177882615629984051036683
06/29/2010 19:30:17,-12.900692543177882615629984051036683
06/29/2010 19:30:18,-12.900692543177882615629984051036683
06/29/2010 19:30:19,-12.900692543177882615629984051036683
06/29/2010 19:30:20,-12.900692543177882615629984051036683
06/29/2010 19:30:21,-12.900692543177882615629984051036683
06/29/2010 19:30:22,-12.900692543177882615629984051036683
06/29/2010 19:30:23,-12.900692543177882615629984051036683
06/29/2010 19:30:24,-12.900692543177882615629984051036683
06/29/2010 19:30:25,-12.900692543177882615629984051036683
06/29/2010 19:30:27,-12.900692543177882615629984051036683
06/29/2010 19:30:28,-12.900692543177882615629984051036683
