time,light,temperature
"10/1/2009 08:56:43",100.69,17.02
"10/1/2009 08:56:45",94.65,17.02
"10/1/2009 08:56:46",128.66,17.02
"10/1/2009 08:56:47",341.55,17.02
"10/1/2009 08:56:48",325.43,17.02
"10/1/2009 08:56:49",334.40,16.70
"10/1/2009 08:56:50",336.19,17.02
"10/1/2009 08:56:51",337.98,17.02
"10/1/2009 08:56:52",332.61,17.02
"10/1/2009 08:56:53",312.80,17.02
"10/1/2009 08:56:54",321.83,17.02
"10/1/2009 08:56:55",22.98,17.02
"10/1/2009 08:56:57",25.06,17.02
"10/1/2009 08:56:58",18.82,17.02
"10/1/2009 08:56:59",20.90,17.02
"10/1/2009 08:57:00",84.55,17.02
"10/1/2009 08:57:01",10.47,17.02
"10/1/2009 08:57:02",116.72,17.02
"10/1/2009 08:57:03",27.13,17.02
"10/1/2009 08:57:04",169.97,17.02
"10/1/2009 08:57:05",150.40,17.02
"10/1/2009 08:57:06",25.06,17.02
"10/1/2009 08:57:07",76.43,17.02
"10/1/2009 08:57:09",86.57,17.02
"10/1/2009 08:57:10",22.98,17.02
"10/1/2009 08:57:11",8.38,17.02
"10/1/2009 08:57:12",154.33,17.02
"10/1/2009 08:57:13",150.40,17.02
"10/1/2009 08:57:14",106.71,17.02
"10/1/2009 08:57:15",334.40,17.02
"10/1/2009 08:57:16",223.80,17.02
"10/1/2009 08:57:17",200.90,17.02
"10/1/2009 08:57:18",62.16,17.02
