time,light,temperature
"10/1/2009 13:26:32",345.11,-18.11
"10/1/2009 13:26:33",325.43,-18.11
"10/1/2009 13:26:34",329.03,-17.78
"10/1/2009 13:26:35",179.68,-18.11
"10/1/2009 13:26:36",250.19,-17.78
"10/1/2009 13:26:37",346.88,-17.78
"10/1/2009 13:26:38",359.28,-17.78
"10/1/2009 13:26:39",345.11,-18.11
"10/1/2009 13:26:40",357.51,-18.11
"10/1/2009 13:26:42",51.91,-17.78
"10/1/2009 13:26:43",31.28,-18.11
"10/1/2009 13:26:44",39.56,-18.11
"10/1/2009 13:26:45",39.56,-18.11
"10/1/2009 13:26:46",33.35,-17.78
"10/1/2009 13:26:47",29.21,-18.11
"10/1/2009 13:26:48",193.21,-18.11
"10/1/2009 13:26:49",14.65,-17.78
"10/1/2009 13:26:50",20.90,-18.11
"10/1/2009 13:26:51",20.90,-18.11
"10/1/2009 13:26:52",20.90,-18.11
"10/1/2009 13:26:53",29.21,-18.11
"10/1/2009 13:26:54",12.56,-17.78
"10/1/2009 13:26:55",124.69,-17.78
"10/1/2009 13:26:57",337.98,-17.78
"10/1/2009 13:26:58",341.55,-18.11
"10/1/2009 13:26:59",345.11,-17.78
"10/1/2009 13:27:00",348.66,-18.11
"10/1/2009 13:27:01",345.11,-17.78
"10/1/2009 13:27:02",305.54,-17.78
"10/1/2009 13:27:03",348.66,-17.78
"10/1/2009 13:27:04",114.72,-17.78
"10/1/2009 13:27:05",110.72,-17.78
"10/1/2009 13:27:06",329.03,-17.78
"10/1/2009 13:27:07",353.98,-18.11
"10/1/2009 13:27:08",336.19,-17.78
"10/1/2009 13:27:09",208.56,-17.78
"10/1/2009 13:27:11",160.20,-17.78
"10/1/2009 13:27:12",27.13,-17.78
"10/1/2009 13:27:13",25.06,-17.78
"10/1/2009 13:27:14",60.11,-17.78
"10/1/2009 13:27:15",60.11,-17.78
"10/1/2009 13:27:16",175.80,-17.78
"10/1/2009 13:27:17",329.03,-17.78
"10/1/2009 13:27:18",343.33,-17.78
