time,latitude,longitude,light,temperature,sound,"cricket temperature probe"
"3/30/2128 20:00:00",,,1057.34,23.47,0,15.28795
"3/30/2128 20:00:00",,,1057.34,23.79,0,15.06305
"3/30/2128 20:00:00",,,1057.34,23.47,0,15.1755
"3/30/2128 20:00:00",,,1057.34,23.47,0,15.28795
"3/30/2128 20:00:00",,,1058.11,23.47,0,15.1755
"3/30/2128 20:00:00",,,1058.11,23.47,0,15.1755
"3/30/2128 20:00:00",,,1058.11,23.79,0,15.06305
"3/30/2128 20:00:00",,,1058.11,23.47,0,15.06305
"3/30/2128 20:00:00",,,1058.11,23.47,0,15.06305
"3/30/2128 20:00:00",,,1057.34,23.79,0,15.1755
"3/30/2128 20:00:00",,,1057.34,23.79,0,15.1755
"3/30/2128 20:00:00",,,1057.34,23.79,0,15.06305
"3/30/2128 20:00:00",,,1057.34,23.79,0,15.06305
"3/30/2128 20:00:00",,,1057.34,23.79,0,14.9506
"3/30/2128 20:00:00",,,1057.34,23.79,0,15.06305
"3/30/2128 20:00:00",,,1057.34,23.79,0,14.9506
"3/30/2128 20:00:00",,,1058.11,23.79,0,15.06305
"3/30/2128 20:00:00",,,1058.11,23.79,0,15.06305
"3/30/2128 20:00:00",,,1058.11,23.79,0,15.06305
"3/30/2128 20:00:00",,,1058.11,23.79,0,14.9506
"3/30/2128 20:00:00",,,1057.34,23.79,0,14.83815
"3/30/2128 20:00:00",,,1057.34,23.79,0,14.83815
"3/30/2128 20:00:00",,,1058.11,23.79,0,14.83815
"3/30/2128 20:00:00",,,1057.34,23.79,0,14.9506
"3/30/2128 20:00:00",,,1056.56,23.79,0,14.83815
"3/30/2128 20:00:00",,,1057.34,23.47,0,14.83815
"3/30/2128 20:00:00",,,1055.79,23.47,0,14.83815
"3/30/2128 20:00:00",,,1055.79,23.47,0,14.9506
"3/30/2128 20:00:00",,,1055.79,23.47,0,14.83815
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.83815
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.83815
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.83815
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.83815
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.7257
"3/30/2128 20:00:00",,,1057.34,23.47,0,14.61325
