time,latitude,longitude,light,temperature,sound,"cricket temperature probe"
"3/30/2128 20:00:00",,,470.15,53.76,0,20.7980
"3/30/2128 20:00:00",,,0.00,53.76,0,20.3482
"3/30/2128 20:00:00",,,0.00,53.76,0,20.01085
"3/30/2128 20:00:00",,,0.00,53.76,0,19.8984
"3/30/2128 20:00:00",,,0.00,53.76,0,19.78595
"3/30/2128 20:00:00",,,0.00,49.89,0,19.78595
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,50.86,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,49.89,0,19.6735
"3/30/2128 20:00:00",,,0.00,49.89,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.44,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,54.08,0,19.6735
"3/30/2128 20:00:00",,,0.00,50.21,0,19.6735
"3/30/2128 20:00:00",,,0.00,54.08,0,19.6735
"3/30/2128 20:00:00",,,0.00,54.08,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.44,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,50.21,0,19.56105
"3/30/2128 20:00:00",,,0.00,53.76,0,19.56105
"3/30/2128 20:00:00",,,0.00,53.76,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.44,0,19.6735
"3/30/2128 20:00:00",,,0.00,53.44,0,19.56105
"3/30/2128 20:00:00",,,0.00,49.89,0,19.56105
"3/30/2128 20:00:00",,,0.00,53.76,0,19.56105
