time,latitude,longitude,light,temperature,sound,"temperature probe"
"10/15/2009 17:23:45",42.86915,-71.161835,0.00,-18.75,0,5.84215
"10/15/2009 17:23:46",42.86902,-71.162,0.00,-18.75,0,5.84215
"10/15/2009 17:23:47",42.868896,-71.16215,0.00,-18.75,0,5.84215
"10/15/2009 17:23:48",42.868767,-71.1623,0.00,-18.75,0,5.84215
"10/15/2009 17:23:49",42.868637,-71.16247,0.00,-18.75,0,5.84215
"10/15/2009 17:23:50",42.86848,-71.16261,0.00,-18.75,0,5.84215
"10/15/2009 17:23:51",42.882,-71.16293,0.00,-18.75,0,5.84215
"10/15/2009 17:23:52",42.880665,-71.1631,0.00,-18.75,0,5.84215
"10/15/2009 17:23:53",42.8795,-71.16326,0.00,-18.75,0,5.84215
"10/15/2009 17:23:55",42.878166,-71.16342,0.00,-18.75,0,5.84215
"10/15/2009 17:23:56",42.87683,-71.16358,0.00,22.18,0,5.84215
"10/15/2009 17:23:57",42.875496,-71.163734,0.00,-18.75,0,5.84215
"10/15/2009 17:23:58",42.87417,-71.1639,0.00,-18.75,0,5.84215
"10/15/2009 17:23:59",42.872665,-71.16407,0.00,-18.75,0,5.84215
"10/15/2009 17:24:00",42.871166,-71.16423,0.00,-18.75,0,5.84215
"10/15/2009 17:24:01",42.8695,-71.1644,0.00,-18.75,0,5.84215
"10/15/2009 17:24:02",42.879997,-71.164566,0.00,-18.75,0,5.84215
"10/15/2009 17:24:03",42.866665,-71.16475,0.00,-18.75,0,5.84215
"10/15/2009 17:24:04",,,0.00,-18.75,0,5.84215
"10/15/2009 17:24:04",42.866253,-71.16528,0.00,22.18,0,5.9546
"10/15/2009 17:24:06",42.866096,-71.165474,0.00,-18.75,0,5.9546
"10/15/2009 17:24:07",42.865967,-71.165634,0.00,-19.07,0,5.9546
"10/15/2009 17:24:09",42.86582,-71.16582,0.00,-18.75,0,5.9546
"10/15/2009 17:24:10",42.86568,-71.166,0.00,22.18,0,5.9546
"10/15/2009 17:24:11",42.865536,-71.16617,0.00,-18.75,0,5.9546
"10/15/2009 17:24:12",42.86538,-71.16635,0.00,-18.75,0,5.9546
"10/15/2009 17:24:13",42.865234,-71.16652,0.00,-18.75,0,5.9546
"10/15/2009 17:24:14",42.865078,-71.170006,0.00,-18.75,0,5.9546
"10/15/2009 17:24:15",42.86495,-71.16867,0.00,-18.75,0,5.9546
"10/15/2009 17:24:16",42.864803,-71.1705,0.00,-18.75,0,5.9546
"10/15/2009 17:24:17",42.864647,-71.172165,0.00,-18.75,0,5.9546
"10/15/2009 17:24:18",,,0.00,-18.75,0,5.9546
"10/15/2009 17:24:18",42.86425,-71.177666,0.00,-18.75,0,5.9546
"10/15/2009 17:24:20",42.8641,-71.17933,0.00,-18.75,0,5.9546
"10/15/2009 17:24:21",42.863964,-71.18117,0.00,-18.75,0,6.06705
"10/15/2009 17:24:23",42.863834,-71.18266,0.00,-18.75,0,6.06705
"10/15/2009 17:24:24",42.863697,-71.16842,0.00,-18.75,0,6.06705
"10/15/2009 17:24:25",42.863567,-71.16855,0.00,-18.75,0,6.06705
"10/15/2009 17:24:26",42.863453,-71.1687,0.00,-18.75,0,6.06705
"10/15/2009 17:24:27",42.863346,-71.168846,0.00,-18.75,0,6.06705
"10/15/2009 17:24:28",42.863247,-71.169,0.00,-18.75,0,6.06705
"10/15/2009 17:24:29",42.863117,-71.169136,0.00,-18.75,0,6.06705
"10/15/2009 17:24:30",42.862995,-71.16929,0.00,-18.75,0,6.06705
"10/15/2009 17:24:31",42.86288,-71.16942,0.00,-18.75,0,6.06705
"10/15/2009 17:24:32",42.862648,-71.16973,0.00,-18.75,0,6.06705
"10/15/2009 17:24:33",42.862514,-71.16988,0.00,-18.75,0,6.06705
"10/15/2009 17:24:34",42.86242,-71.17005,0.00,-18.75,0,6.06705
