time,latitude,longitude,acceleration,light,temperature,sound,altitude,pedometer
0,42.7875,-71.107315,0.90,175.80,20.57,0,64,0
1,42.7875,-71.107315,0.90,160.20,20.57,0,65,0
2,42.787468,-71.107346,0.86,70.33,20.57,0,67,0
3,42.787468,-71.10738,0.94,152.36,20.57,0,67,0
4,42.787468,-71.1074,0.86,76.43,20.57,0,68,1
5,42.787453,-71.1074,0.94,62.16,20.57,24,68,1
6,42.787468,-71.10738,1.05,51.91,20.57,18,69,0
7,42.787468,-71.10737,1.02,49.86,20.57,0,71,0
8,42.787468,-71.10737,0.98,41.62,20.57,21,72,0
9,42.787468,-71.10737,0.98,51.91,20.57,21,71,0
10,42.787468,-71.107346,1.05,2.10,20.57,0,70,1
11,42.787468,-71.10737,0.98,2.10,20.57,9,72,0
12,42.787468,-71.107346,0.98,0.00,20.57,25,70,0
13,42.787468,-71.10733,0.94,6.29,20.57,32,70,0
14,42.787434,-71.107346,1.02,10.47,20.57,28,70,0
15,42.787434,-71.107315,0.98,0.00,20.57,16,72,0
16,42.787403,-71.10738,0.98,12.56,20.57,6,72,0
17,42.787388,-71.10743,1.02,112.72,20.57,2,70,2
18,42.787388,-71.107445,0.98,8.38,20.57,6,69,0
19,42.787388,-71.107414,0.98,6.29,20.57,0,70,0
20,42.787388,-71.107414,0.94,0.00,20.57,0,69,0
21,42.78737,-71.107414,0.98,27.13,20.57,0,68,0
22,42.78737,-71.107414,0.94,66.25,20.57,0,65,0
23,42.787403,-71.10737,0.98,47.80,20.89,45,60,0
24,42.78742,-71.10737,0.98,104.71,20.89,0,60,0
25,42.787434,-71.107346,0.86,140.55,20.89,6,58,0
26,,,0.82,114.72,21.86,0,,1
27,42.787468,-71.1073,0.90,86.57,21.86,21,58,0
28,42.787468,-71.1073,0.98,53.97,21.86,1,62,0
29,42.787453,-71.10733,1.05,10.47,21.53,13,65,0
30,42.787453,-71.10733,1.02,12.56,21.21,26,64,1
31,,,1.02,8.38,21.53,42,,0
32,42.787468,-71.107315,1.05,6.29,21.53,39,65,0
33,42.787453,-71.107315,1.02,14.65,21.53,14,67,0
34,42.787468,-71.1073,1.02,14.65,21.21,19,67,1
35,42.787483,-71.107285,0.90,76.43,21.21,20,67,0
36,42.787483,-71.1073,0.94,90.61,21.21,12,67,0
37,42.787483,-71.1073,0.98,100.69,21.21,22,65,0
38,42.787483,-71.107315,0.94,106.71,21.21,24,64,0
39,42.787483,-71.1073,0.94,106.71,21.21,3,61,0
40,42.787483,-71.10727,0.94,112.72,21.53,23,59,0
41,42.787483,-71.10727,1.02,118.71,21.21,0,58,0
42,42.787483,-71.107254,0.82,82.52,21.21,8,57,0
43,42.7875,-71.10723,0.94,96.66,21.21,0,57,3
44,42.787483,-71.107254,1.05,221.90,21.21,7,58,2
45,42.787483,-71.107254,1.02,14.65,21.21,0,59,3
46,42.787483,-71.107254,0.98,0.00,21.21,0,60,0
47,42.787483,-71.10727,2.93,0.00,21.21,0,59,0
48,42.787468,-71.1073,2.19,6.29,21.21,7,59,1
49,42.787468,-71.10733,5.43,10.47,21.21,4,62,0
50,42.787468,-71.107346,1.48,22.98,21.21,1,62,4
51,,,1.02,6.29,21.21,0,,2
52,,,1.52,4.19,21.21,4,,2
53,42.787483,-71.107346,5.27,8.38,21.21,8,63,8
54,42.787518,-71.10733,0.94,0.00,21.21,0,61,1
55,,,0.82,2.10,21.21,1,,2
56,,,0.90,20.90,21.21,0,,2
57,42.787563,-71.107315,0.98,2.10,21.21,0,62,3
58,42.787518,-71.1073,0.90,8.38,21.21,2,67,1
59,42.787518,-71.107285,1.05,12.56,21.21,0,65,2
60,42.787518,-71.10727,0.90,37.49,21.21,0,66,2
61,42.787518,-71.10727,0.90,49.86,21.21,0,67,4
62,42.7875,-71.10727,1.33,33.35,21.21,0,66,1
63,42.7875,-71.10727,0.90,20.90,21.21,0,66,1
64,42.787483,-71.107285,0.94,116.72,21.21,0,68,0
65,42.787483,-71.107315,0.90,132.63,21.21,6,68,1
66,42.787483,-71.10733,1.02,134.61,21.21,5,67,1
67,42.7875,-71.107315,1.21,108.72,21.21,3,64,0
68,42.787518,-71.1073,0.78,94.65,21.21,0,63,0
69,42.7875,-71.1073,1.05,276.22,21.21,1,62,0
70,42.787483,-71.1073,0.82,310.99,21.21,1,61,0
71,42.787468,-71.1073,0.82,53.97,21.21,11,60,0
72,42.787483,-71.1073,1.02,66.25,21.21,0,59,1
73,42.787453,-71.107315,0.90,76.43,21.21,0,60,1
74,42.787468,-71.1073,0.98,108.72,21.21,2,59,0
75,42.787468,-71.107285,1.05,66.25,21.21,0,56,1
76,42.787483,-71.10727,0.90,191.28,21.21,6,54,1
77,42.787468,-71.10727,0.82,330.82,21.21,0,55,0
78,42.787483,-71.107254,1.02,66.25,21.21,0,55,0
79,42.787483,-71.10727,0.98,70.33,21.21,0,57,1
