lat,lon
42.31465,-71.62025
42.31465,-71.6202833333
42.31465,-71.6202833333
42.3146,-71.6202833333
42.31455,-71.62025
42.3145333333,-71.62025
42.3145333333,-71.62025
42.3145166667,-71.6202833333
42.3145,-71.6202833333
42.3145,-71.6203
42.3144833333,-71.6203166667
42.3144833333,-71.6203166667
42.3144833333,-71.6202833333
42.3144833333,-71.6202666667
42.3145,-71.62025
42.3144833333,-71.62025
42.3144833333,-71.6202333333
42.3144833333,-71.6202
42.3145,-71.6201833333
42.3145,-71.6201666667
42.3145,-71.6201333333
42.3145,-71.6201333333
42.3145166667,-71.6201
42.3145333333,-71.6200833333
42.31455,-71.6200666667
42.3145666667,-71.62005
42.3145833333,-71.62005
42.3145833333,-71.6200666667
42.3146166667,-71.6200333333
42.3146333333,-71.6200333333
42.31465,-71.6200333333
42.3146666667,-71.62005
42.3146833333,-71.6200666667
42.3147,-71.6200833333
42.3147,-71.6201
42.3147,-71.6201
