time,latitude,longitude,temperature,volts
07/20/2010 11:07:29,42.637516,-71.2975,27.33,3.283870967741935483870967741935484
07/20/2010 11:07:40,42.637516,-71.2975,27.33,3.283870967741935483870967741935484
07/20/2010 11:07:51,42.637516,-71.2975,27.33,3.283870967741935483870967741935484
07/20/2010 11:08:02,42.6375,-71.297485,27.66,3.283870967741935483870967741935484
07/20/2010 11:08:13,42.6375,-71.297485,27.66,3.283870967741935483870967741935484
07/20/2010 11:08:24,42.6375,-71.297485,27.66,3.283870967741935483870967741935484
07/20/2010 11:13:13,42.63737,-71.297485,26.69,3.283870967741935483870967741935484
07/20/2010 11:13:23,42.637352,-71.29736,26.69,3.283870967741935483870967741935484
07/20/2010 11:13:34,42.63737,-71.29733,26.69,3.283870967741935483870967741935484
07/20/2010 11:13:45,42.637314,-71.29733,27.01,3.283870967741935483870967741935484
07/20/2010 11:13:56,42.637295,-71.29732,26.69,3.283870967741935483870967741935484
07/20/2010 11:14:07,42.637314,-71.29733,26.69,3.283870967741935483870967741935484
07/20/2010 11:14:18,42.637352,-71.29732,26.69,3.283870967741935483870967741935484
07/20/2010 11:14:28,42.63737,-71.29733,26.69,3.283870967741935483870967741935484
07/20/2010 11:21:10,42.63545,-71.2965,27.66,3.283870967741935483870967741935484
07/20/2010 11:21:21,42.63545,-71.29652,27.66,3.283870967741935483870967741935484
07/20/2010 11:21:32,42.635418,-71.296486,27.66,3.283870967741935483870967741935484
07/20/2010 11:21:43,42.63537,-71.2965,27.98,3.283870967741935483870967741935484
07/20/2010 11:21:53,42.63537,-71.29652,27.98,3.283870967741935483870967741935484
07/20/2010 11:22:04,42.635353,-71.2965,28.30,3.283870967741935483870967741935484
07/20/2010 11:22:15,42.635353,-71.296486,28.30,3.283870967741935483870967741935484
07/20/2010 11:23:42,42.649334,-71.2965,27.33,3.283870967741935483870967741935484
07/20/2010 11:23:53,42.64833,-71.29656,27.33,3.283870967741935483870967741935484
07/20/2010 11:24:03,42.64817,-71.29655,27.33,3.283870967741935483870967741935484
07/20/2010 11:24:14,42.64817,-71.29655,27.33,3.283870967741935483870967741935484
07/20/2010 11:24:25,42.64817,-71.29655,27.33,3.283870967741935483870967741935484
07/20/2010 11:24:36,42.64833,-71.29655,27.33,3.283870967741935483870967741935484
07/20/2010 11:24:47,42.64833,-71.29655,27.66,3.283870967741935483870967741935484
07/20/2010 11:25:08,42.648502,-71.29656,27.66,3.283870967741935483870967741935484
07/20/2010 11:25:19,42.648666,-71.2966,27.66,3.283870967741935483870967741935484
