time,latitude,longitude,temperature,volts
07/20/2010 11:05:14,42.63758,-71.297554,26.69,0.06129032258064516129032258064516129
07/20/2010 11:05:25,42.63753,-71.297554,26.69,0.06129032258064516129032258064516129
07/20/2010 11:05:36,42.63737,-71.29753,26.69,0.06129032258064516129032258064516129
07/20/2010 11:05:47,42.6374,-71.297516,26.69,0.06451612903225806451612903225806452
07/20/2010 11:05:58,42.637352,-71.29753,26.69,0.06129032258064516129032258064516129
07/20/2010 11:06:09,42.637486,-71.2975,26.69,0.06129032258064516129032258064516129
07/20/2010 11:06:19,42.637596,-71.29753,26.69,0.06129032258064516129032258064516129
07/20/2010 11:06:30,42.637615,-71.29753,26.69,0.06129032258064516129032258064516129
07/20/2010 11:06:41,42.637596,-71.297516,27.01,0.06129032258064516129032258064516129
07/20/2010 11:06:52,42.63755,-71.297516,27.01,0.06451612903225806451612903225806452
07/20/2010 11:13:35,42.637352,-71.29735,27.01,0.06451612903225806451612903225806452
07/20/2010 11:13:46,42.63723,-71.29744,27.01,0.06451612903225806451612903225806452
07/20/2010 11:13:57,42.637264,-71.29742,27.33,0.06129032258064516129032258064516129
07/20/2010 11:14:08,42.63725,-71.2974,27.33,0.06451612903225806451612903225806452
07/20/2010 11:14:18,42.637264,-71.29738,27.33,0.06129032258064516129032258064516129
07/20/2010 11:14:29,42.637295,-71.29738,27.33,0.06129032258064516129032258064516129
07/20/2010 11:14:40,42.637314,-71.2974,27.66,0.06451612903225806451612903225806452
07/20/2010 11:14:50,42.637337,-71.29742,27.66,0.06451612903225806451612903225806452
07/20/2010 11:15:01,42.637352,-71.29744,27.66,0.06129032258064516129032258064516129
07/20/2010 11:15:12,42.637314,-71.297485,27.98,0.06451612903225806451612903225806452
07/20/2010 11:15:22,42.637337,-71.297455,28.30,0.06451612903225806451612903225806452
07/20/2010 11:15:33,42.63728,-71.297554,28.30,0.06451612903225806451612903225806452
07/20/2010 11:15:44,42.63725,-71.29763,28.30,0.06129032258064516129032258064516129
07/20/2010 11:15:55,42.63723,-71.29775,28.30,0.06129032258064516129032258064516129
07/20/2010 11:16:05,42.637165,-71.29787,28.62,0.06451612903225806451612903225806452
07/20/2010 11:16:16,42.6371,-71.29784,28.62,0.06129032258064516129032258064516129
07/20/2010 11:16:27,42.637035,-71.29778,28.62,0.06451612903225806451612903225806452
07/20/2010 11:16:37,42.636948,-71.29773,28.30,0.06451612903225806451612903225806452
07/20/2010 11:16:48,42.636864,-71.29768,28.30,0.06451612903225806451612903225806452
07/20/2010 11:16:59,42.6368,-71.29766,27.98,0.06451612903225806451612903225806452
07/20/2010 11:17:09,42.63672,-71.297615,27.98,0.06451612903225806451612903225806452
07/20/2010 11:17:20,42.636547,-71.297516,28.30,0.06451612903225806451612903225806452
07/20/2010 11:17:31,42.636497,-71.29747,27.98,0.06451612903225806451612903225806452
07/20/2010 11:17:42,42.636497,-71.29747,27.66,0.06451612903225806451612903225806452
07/20/2010 11:17:52,42.636497,-71.29747,27.98,0.06129032258064516129032258064516129
07/20/2010 11:18:03,42.636467,-71.29747,27.98,0.06129032258064516129032258064516129
07/20/2010 11:18:14,42.636368,-71.29742,28.30,0.06451612903225806451612903225806452
07/20/2010 11:18:24,42.636337,-71.29728,28.30,0.06451612903225806451612903225806452
07/20/2010 11:18:35,42.63623,-71.297165,28.30,0.06129032258064516129032258064516129
07/20/2010 11:18:46,42.63615,-71.297134,27.98,0.06129032258064516129032258064516129
07/20/2010 11:18:56,42.636036,-71.297104,27.98,0.06451612903225806451612903225806452
07/20/2010 11:19:07,42.63597,-71.29701,27.66,0.06451612903225806451612903225806452
07/20/2010 11:19:18,42.635815,-71.29688,27.33,0.06451612903225806451612903225806452
07/20/2010 11:19:29,42.635635,-71.29663,26.69,0.06451612903225806451612903225806452
07/20/2010 11:19:39,42.635483,-71.29643,26.69,0.06129032258064516129032258064516129
07/20/2010 11:19:50,42.63545,-71.29642,27.01,0.06451612903225806451612903225806452
07/20/2010 11:20:01,42.63545,-71.29643,26.69,0.06451612903225806451612903225806452
07/20/2010 11:20:11,42.63545,-71.296455,26.69,0.06129032258064516129032258064516129
07/20/2010 11:20:22,42.635464,-71.296486,26.37,0.06451612903225806451612903225806452
07/20/2010 11:20:33,42.635464,-71.296486,26.37,0.06451612903225806451612903225806452
07/20/2010 11:20:44,42.63545,-71.296486,26.37,0.06451612903225806451612903225806452
07/20/2010 11:20:54,42.635464,-71.29647,26.37,0.06129032258064516129032258064516129
07/20/2010 11:21:05,42.63545,-71.2964,26.69,0.06451612903225806451612903225806452
07/20/2010 11:21:16,42.63545,-71.29642,26.69,0.06451612903225806451612903225806452
07/20/2010 11:21:26,42.635464,-71.2964,27.01,0.06451612903225806451612903225806452
07/20/2010 11:21:37,42.63545,-71.2964,27.01,0.06129032258064516129032258064516129
07/20/2010 11:21:48,42.63545,-71.29642,27.33,0.06451612903225806451612903225806452
07/20/2010 11:21:59,42.635433,-71.29642,27.66,0.06129032258064516129032258064516129
07/20/2010 11:22:09,42.635464,-71.29639,27.98,0.06129032258064516129032258064516129
07/20/2010 11:22:20,42.635433,-71.29635,27.98,0.06129032258064516129032258064516129
07/20/2010 11:22:31,42.635353,-71.29635,27.66,0.06129032258064516129032258064516129
07/20/2010 11:22:41,42.63513,-71.29642,27.66,0.06451612903225806451612903225806452
07/20/2010 11:22:52,42.649334,-71.296455,27.33,0.06451612903225806451612903225806452
07/20/2010 11:23:03,42.64917,-71.296455,27.01,0.06129032258064516129032258064516129
