time,light,sound
"00/17/2010 18:29:10",352.21,0
"00/17/2010 18:29:11",279.91,0
"00/17/2010 18:29:12",218.10,0
"00/17/2010 18:29:13",246.44,0
"00/17/2010 18:29:14",300.08,1
"00/17/2010 18:29:15",339.76,0
"00/17/2010 18:29:16",278.07,0
"00/17/2010 18:29:17",263.25,0
"00/17/2010 18:29:18",320.03,0
"00/17/2010 18:29:19",283.59,0
"00/17/2010 18:29:20",242.68,0
"00/17/2010 18:29:21",307.36,0
"00/17/2010 18:29:22",300.08,0
"00/17/2010 18:29:24",235.15,0
"00/17/2010 18:29:25",279.91,0
"00/17/2010 18:29:26",268.82,0
"00/17/2010 18:29:27",339.76,0
"00/17/2010 18:29:28",283.59,0
"00/17/2010 18:29:29",244.56,0
"00/17/2010 18:29:30",355.75,0
"00/17/2010 18:29:31",336.19,0
"00/17/2010 18:29:32",253.93,0
"00/17/2010 18:29:33",261.39,0
"00/17/2010 18:29:34",221.90,0
"00/17/2010 18:29:35",283.59,0
"00/17/2010 18:29:36",289.10,0
"00/17/2010 18:29:38",346.88,0
"00/17/2010 18:29:39",278.07,0
"00/17/2010 18:29:40",274.37,0
"00/17/2010 18:29:41",274.37,0
"00/17/2010 18:29:42",359.28,0
"00/17/2010 18:29:43",289.10,0
"00/17/2010 18:29:44",336.19,0
"00/17/2010 18:29:45",250.19,0
"00/17/2010 18:29:46",359.28,0
"00/17/2010 18:29:47",316.42,0
"00/17/2010 18:29:48",355.75,0
"00/17/2010 18:29:49",283.59,0
"00/17/2010 18:29:51",281.75,0
"00/17/2010 18:29:52",265.11,0
"00/17/2010 18:29:53",307.36,0
"00/17/2010 18:29:54",225.69,0
"00/17/2010 18:29:55",250.19,0
"00/17/2010 18:29:56",329.03,0
"00/17/2010 18:29:57",353.98,0
"00/17/2010 18:29:58",316.42,0
"00/17/2010 18:29:59",278.07,0
"00/17/2010 18:30:00",263.25,0
"00/17/2010 18:30:01",298.25,0
"00/17/2010 18:30:02",287.27,0
"00/17/2010 18:30:03",259.52,0
"00/17/2010 18:30:05",343.33,0
"00/17/2010 18:30:06",281.75,0
"00/17/2010 18:30:07",318.22,0
"00/17/2010 18:30:08",276.22,0
"00/17/2010 18:30:09",300.08,0
"00/17/2010 18:30:10",290.94,0
"00/17/2010 18:30:11",270.67,0
"00/17/2010 18:30:12",240.80,0
"00/17/2010 18:30:13",345.11,0
"00/17/2010 18:30:14",227.59,0
"00/17/2010 18:30:15",309.17,0
"00/17/2010 18:30:16",289.10,0
"00/17/2010 18:30:17",337.98,0
"00/17/2010 18:30:18",274.37,0
"00/17/2010 18:30:20",332.61,0
"00/17/2010 18:30:21",266.96,0
"00/17/2010 18:30:22",283.59,0
"00/17/2010 18:30:23",268.82,0
"00/17/2010 18:30:24",244.56,0
"00/17/2010 18:30:25",214.29,0
"00/17/2010 18:30:26",235.15,0
"00/17/2010 18:30:27",272.52,0
"00/17/2010 18:30:28",312.80,0
"00/17/2010 18:30:29",283.59,0
"00/17/2010 18:30:30",227.59,0
