time,latitude,longitude,acceleration,light,temperature,sound,altitude
04/16/2010 11:47:33,42.12972,-71.042046,0.90,181.62,23.79,0,135
04/16/2010 11:47:34,42.129566,-71.04227,0.94,177.74,23.79,0,108
04/16/2010 11:47:36,42.129517,-71.042366,0.86,206.65,23.79,0,100
04/16/2010 11:47:37,42.129467,-71.0424,1.02,166.07,23.79,0,106
04/16/2010 11:47:38,42.129467,-71.0424,0.86,204.73,23.79,2,112
04/16/2010 11:47:39,42.129467,-71.0424,0.86,206.65,23.79,0,111
04/16/2010 11:47:40,42.12945,-71.04241,0.86,191.28,23.79,0,110
04/16/2010 11:47:41,42.12945,-71.04241,0.86,169.97,23.79,0,109
04/16/2010 11:47:42,42.12945,-71.04241,0.86,98.68,23.79,0,109
04/16/2010 11:47:43,42.12945,-71.04241,0.86,138.57,24.11,0,110
04/16/2010 11:47:44,42.12945,-71.0424,0.86,150.40,23.79,0,112
04/16/2010 11:47:45,42.129436,-71.04241,0.86,168.02,23.79,0,110
04/16/2010 11:47:46,42.129436,-71.042435,0.86,158.25,23.79,0,108
04/16/2010 11:47:47,42.129436,-71.042435,0.82,124.69,23.79,0,107
04/16/2010 11:47:49,42.129436,-71.042435,0.86,100.69,23.79,0,105
04/16/2010 11:47:50,42.129417,-71.04245,0.86,195.13,23.79,0,104
04/16/2010 11:47:51,42.129417,-71.04245,0.86,204.73,24.11,0,102
04/16/2010 11:47:52,42.129417,-71.042465,0.86,204.73,24.11,0,101
04/16/2010 11:47:53,42.129417,-71.042465,0.86,204.73,23.79,0,101
04/16/2010 11:47:54,42.129417,-71.042465,0.86,208.56,24.11,0,100
04/16/2010 11:47:55,42.129417,-71.042465,0.86,208.56,24.11,0,100
04/16/2010 11:47:56,42.129436,-71.042465,0.86,202.82,24.11,0,100
04/16/2010 11:47:57,42.129436,-71.042465,0.86,204.73,23.79,0,100
04/16/2010 11:47:58,42.129436,-71.042465,0.86,204.73,24.11,0,100
04/16/2010 11:47:59,42.129436,-71.042465,0.86,206.65,24.11,0,100
04/16/2010 11:48:01,42.129436,-71.042465,0.86,206.65,24.11,0,101
04/16/2010 11:48:02,42.129436,-71.042465,0.86,208.56,24.11,0,101
04/16/2010 11:48:03,42.129436,-71.042465,0.86,204.73,24.11,0,102
04/16/2010 11:48:04,42.129436,-71.042465,0.86,200.90,24.11,0,102
04/16/2010 11:48:05,42.129436,-71.042465,0.86,204.73,24.11,0,102
04/16/2010 11:48:06,42.129436,-71.042465,0.86,202.82,24.11,0,102
04/16/2010 11:48:07,42.129436,-71.042465,0.86,202.82,24.11,0,102
04/16/2010 11:48:08,42.129436,-71.042465,0.86,208.56,24.11,0,102
