Latitude, Longitude, Accelerometer, Orientation, Time
, 84.42087, , 4/7/2010 10:49:54
42.654840657142856, -71.32651220000001, 86.91863, 5.420992656694387, 4/7/2010 10:49:55
, 116.83237, , 4/7/2010 10:49:55
42.654840657142856, -71.32651220000001, 91.46761, 5.420992656694387, 4/7/2010 10:49:56
, 89.941956, 5.5091317839201, 4/7/2010 10:49:56
42.654840657142856, -71.32651220000001, 91.15576, 4.301363941540025, 4/7/2010 10:49:57
, 90.16419, 5.5091317839201, 4/7/2010 10:49:57
42.654840657142856, -71.32651220000001, 94.18575, 4.301363941540025, 4/7/2010 10:49:58
42.654840657142856, -71.32651220000001, 96.814865, 4.301363941540025, 4/7/2010 10:49:59
42.654840657142856, -71.32651220000001, 103.174286, 4.301363941540025, 4/7/2010 10:50:0
42.654840657142856, -71.32651220000001, 101.357735, 4.301363941540025, 4/7/2010 10:50:1
42.654840657142856, -71.32651220000001, 122.24511, 0.7627088831215219, 4/7/2010 10:50:2
42.654840657142856, -71.32651220000001, 107.018684, 0.7627088831215219, 4/7/2010 10:50:3
42.654840657142856, -71.32651220000001, 87.32082, 0.7627088831215219, 4/7/2010 10:50:4
42.654840657142856, -71.32651220000001, 92.44713, 0.7627088831215219, 4/7/2010 10:50:5
42.654840657142856, -71.32651220000001, 102.096634, 0.7627088831215219, 4/7/2010 10:50:6
42.654840657142856, -71.32651220000001, 93.50715, 3.536037064540512, 4/7/2010 10:50:7
42.654840657142856, -71.32651220000001, 91.0439, 3.536037064540512, 4/7/2010 10:50:8
42.654840657142856, -71.32651220000001, 95.277885, 3.536037064540512, 4/7/2010 10:50:9
42.654840657142856, -71.32651220000001, 98.98612, 3.536037064540512, 4/7/2010 10:50:10
42.654840657142856, -71.32651220000001, 90.94891, 3.536037064540512, 4/7/2010 10:50:11
42.654840657142856, -71.32651220000001, 92.04474, 5.075417464799512, 4/7/2010 10:50:12
42.654840657142856, -71.32651220000001, 94.04328, 5.075417464799512, 4/7/2010 10:50:13
42.654840657142856, -71.32651220000001, 97.308334, 5.075417464799512, 4/7/2010 10:50:14
42.654840657142856, -71.32651220000001, 91.81972, 5.075417464799512, 4/7/2010 10:50:15
42.654840657142856, -71.32651220000001, 96.21862, 4.87819525932415, 4/7/2010 10:50:16
42.654840657142856, -71.32651220000001, 90.243225, 4.87819525932415, 4/7/2010 10:50:17
42.654840657142856, -71.32651220000001, 102.89508, 4.87819525932415, 4/7/2010 10:50:18
42.654840657142856, -71.32651220000001, 93.995056, 4.87819525932415, 4/7/2010 10:50:19
42.654840657142856, -71.32651220000001, 91.41585, 4.87819525932415, 4/7/2010 10:50:20
42.654840657142856, -71.32651220000001, 91.83975, 4.778711491960474, 4/7/2010 10:50:21
42.654840657142856, -71.32651220000001, 91.22478, 4.778711491960474, 4/7/2010 10:50:22
42.654840657142856, -71.32651220000001, 98.967384, 4.778711491960474, 4/7/2010 10:50:23
42.654840657142856, -71.32651220000001, 93.000336, 4.778711491960474, 4/7/2010 10:50:24
42.654840657142856, -71.32651220000001, 84.51492, 4.778711491960474, 4/7/2010 10:50:25
42.654840657142856, -71.32651220000001, 94.80223, 4.707152992628708, 4/7/2010 10:50:26
42.654840657142856, -71.32651220000001, 93.36802, 4.707152992628708, 4/7/2010 10:50:27
42.654840657142856, -71.32651220000001, 95.64706, 4.707152992628708, 4/7/2010 10:50:28
42.654840657142856, -71.32651220000001, 94.41766, 4.707152992628708, 4/7/2010 10:50:29
42.654840657142856, -71.32651220000001, 95.18308, 4.707152992628708, 4/7/2010 10:50:30
42.654840657142856, -71.32651220000001, 92.44268, 5.486442503644173, 4/7/2010 10:50:31
42.654840657142856, -71.32651220000001, 96.79075, 5.486442503644173, 4/7/2010 10:50:32
42.654840657142856, -71.32651220000001, 92.07962, 5.486442503644173, 4/7/2010 10:50:33
42.654840657142856, -71.32651220000001, 91.55796, 5.486442503644173, 4/7/2010 10:50:34
42.654840657142856, -71.32651220000001, 92.25494, 5.486442503644173, 4/7/2010 10:50:35
42.654840657142856, -71.32651220000001, 85.66307, 4.802273436862397, 4/7/2010 10:50:36
42.654840657142856, -71.32651220000001, 91.957184, 4.802273436862397, 4/7/2010 10:50:37
42.654840657142856, -71.32651220000001, 92.42207, 4.802273436862397, 4/7/2010 10:50:38
42.654840657142856, -71.32651220000001, 90.58586, 4.802273436862397, 4/7/2010 10:50:39
42.654840657142856, -71.32651220000001, 89.05649, 4.802273436862397, 4/7/2010 10:50:40
42.654840657142856, -71.32651220000001, 92.74414, 4.897393881096088, 4/7/2010 10:50:41
42.654840657142856, -71.32651220000001, 95.1779, 4.897393881096088, 4/7/2010 10:50:42
42.654840657142856, -71.32651220000001, 86.007935, 4.897393881096088, 4/7/2010 10:50:44
42.654840657142856, -71.32651220000001, 90.79735, 4.897393881096088, 4/7/2010 10:50:45
010 10:50:44
