time,light,temperature
"11/6/2009 15:58:43",185.49,-18.75
"11/6/2009 15:58:47",177.74,22.18
"11/6/2009 15:58:48",169.97,-18.75
"11/6/2009 15:58:50",166.07,-18.75
"11/6/2009 15:58:51",193.21,-18.75
"11/6/2009 15:58:52",187.42,-18.75
"11/6/2009 15:58:53",187.42,-18.75
"11/6/2009 15:58:54",183.56,-18.75
"11/6/2009 15:58:55",187.42,-18.75
"11/6/2009 15:58:56",242.68,-18.75
"11/6/2009 15:58:57",276.22,-18.75
"11/6/2009 15:58:58",261.39,-18.75
"11/6/2009 15:58:59",255.79,-18.75
"11/6/2009 15:59:00",221.90,-18.75
"11/6/2009 15:59:01",214.29,-18.75
"11/6/2009 15:59:02",261.39,-18.75
"11/6/2009 15:59:04",272.52,-18.75
"11/6/2009 15:59:05",270.67,-18.75
"11/6/2009 15:59:06",257.66,-18.75
"11/6/2009 15:59:07",246.44,-18.75
"11/6/2009 15:59:08",255.79,-18.75
"11/6/2009 15:59:09",270.67,-18.75
"11/6/2009 15:59:10",268.82,-18.75
"11/6/2009 15:59:11",272.52,-18.75
"11/6/2009 15:59:12",278.07,-18.75
"11/6/2009 15:59:13",263.25,-18.75
"11/6/2009 15:59:14",268.82,-18.75
"11/6/2009 15:59:15",270.67,-18.75
"11/6/2009 15:59:16",261.39,-18.75
"11/6/2009 15:59:18",265.11,-18.75
"11/6/2009 15:59:19",263.25,-18.75
"11/6/2009 15:59:20",253.93,-18.75
"11/6/2009 15:59:21",221.90,-18.75
"11/6/2009 15:59:22",253.93,-18.75
"11/6/2009 15:59:23",261.39,-18.75
"11/6/2009 15:59:24",292.77,-18.75
"11/6/2009 15:59:25",294.60,-18.75
"11/6/2009 15:59:26",294.60,-18.75
"11/6/2009 15:59:27",296.43,-18.75
"11/6/2009 15:59:28",300.08,-18.75
"11/6/2009 15:59:29",300.08,-18.75
"11/6/2009 15:59:30",292.77,-18.75
"11/6/2009 15:59:32",279.91,-18.75
"11/6/2009 15:59:33",296.43,-18.75
"11/6/2009 15:59:34",296.43,-18.75
"11/6/2009 15:59:35",301.90,-18.75
"11/6/2009 15:59:36",301.90,-18.75
"11/6/2009 15:59:37",301.90,-18.75
"11/6/2009 15:59:38",296.43,-18.75
"11/6/2009 15:59:39",292.77,-18.75
"11/6/2009 15:59:40",289.10,-18.75
"11/6/2009 15:59:41",296.43,-18.75
"11/6/2009 15:59:42",301.90,-18.75
"11/6/2009 15:59:43",296.43,-18.75
"11/6/2009 15:59:44",296.43,-18.75
"11/6/2009 15:59:45",290.94,-18.75
"11/6/2009 15:59:47",285.43,-18.75
"11/6/2009 15:59:48",296.43,-18.75
"11/6/2009 15:59:49",294.60,-18.75
"11/6/2009 15:59:50",294.60,-18.75
"11/6/2009 15:59:51",296.43,-18.43
"11/6/2009 15:59:52",303.72,-18.75
"11/6/2009 15:59:53",303.72,-18.75
"11/6/2009 15:59:54",294.60,-18.43
"11/6/2009 15:59:55",296.43,-18.75
"11/6/2009 15:59:56",296.43,-18.75
"11/6/2009 15:59:57",290.94,-18.75
