time,light,"temperature probe"
"11/6/2009 15:58:43",185.49,21.58515
"11/6/2009 15:58:47",177.74,21.58515
"11/6/2009 15:58:48",169.97,21.58515
"11/6/2009 15:58:50",166.07,21.58515
"11/6/2009 15:58:51",193.21,26.75785
"11/6/2009 15:58:52",187.42,34.17955
"11/6/2009 15:58:53",187.42,37.32815
"11/6/2009 15:58:54",183.56,38.90245
"11/6/2009 15:58:55",187.42,40.02695
"11/6/2009 15:58:56",242.68,40.70165
"11/6/2009 15:58:57",276.22,41.15145
"11/6/2009 15:58:58",261.39,41.4888
"11/6/2009 15:58:59",255.79,41.7137
"11/6/2009 15:59:00",221.90,41.9386
"11/6/2009 15:59:01",214.29,42.05105
"11/6/2009 15:59:02",261.39,42.1635
"11/6/2009 15:59:04",272.52,42.27595
"11/6/2009 15:59:05",270.67,42.3884
"11/6/2009 15:59:06",257.66,42.50085
"11/6/2009 15:59:07",246.44,42.6133
"11/6/2009 15:59:08",255.79,42.72575
"11/6/2009 15:59:09",270.67,43.0631
"11/6/2009 15:59:10",268.82,43.5129
"11/6/2009 15:59:11",272.52,43.85025
"11/6/2009 15:59:12",278.07,43.9627
"11/6/2009 15:59:13",263.25,44.07515
"11/6/2009 15:59:14",268.82,44.1876
"11/6/2009 15:59:15",270.67,44.30005
"11/6/2009 15:59:16",261.39,44.1876
"11/6/2009 15:59:18",265.11,44.30005
"11/6/2009 15:59:19",263.25,44.4125
"11/6/2009 15:59:20",253.93,44.30005
"11/6/2009 15:59:21",221.90,44.4125
"11/6/2009 15:59:22",253.93,44.4125
"11/6/2009 15:59:23",261.39,44.4125
"11/6/2009 15:59:24",292.77,44.4125
"11/6/2009 15:59:25",294.60,44.4125
"11/6/2009 15:59:26",294.60,44.4125
"11/6/2009 15:59:27",296.43,44.4125
"11/6/2009 15:59:28",300.08,44.52495
"11/6/2009 15:59:29",300.08,44.52495
"11/6/2009 15:59:30",292.77,44.4125
"11/6/2009 15:59:32",279.91,44.4125
"11/6/2009 15:59:33",296.43,44.4125
"11/6/2009 15:59:34",296.43,44.4125
"11/6/2009 15:59:35",301.90,44.30005
"11/6/2009 15:59:36",301.90,44.30005
"11/6/2009 15:59:37",301.90,44.30005
"11/6/2009 15:59:38",296.43,44.30005
"11/6/2009 15:59:39",292.77,44.30005
"11/6/2009 15:59:40",289.10,44.30005
"11/6/2009 15:59:41",296.43,44.1876
"11/6/2009 15:59:42",301.90,44.1876
"11/6/2009 15:59:43",296.43,44.1876
"11/6/2009 15:59:44",296.43,44.07515
"11/6/2009 15:59:45",290.94,44.07515
"11/6/2009 15:59:47",285.43,44.07515
"11/6/2009 15:59:48",296.43,43.9627
"11/6/2009 15:59:49",294.60,43.9627
"11/6/2009 15:59:50",294.60,43.9627
"11/6/2009 15:59:51",296.43,43.85025
"11/6/2009 15:59:52",303.72,43.85025
"11/6/2009 15:59:53",303.72,43.85025
"11/6/2009 15:59:54",294.60,43.85025
"11/6/2009 15:59:55",296.43,43.85025
"11/6/2009 15:59:56",296.43,43.85025
"11/6/2009 15:59:57",290.94,43.85025
"11/6/2009 15:59:58",296.43,43.85025
"11/6/2009 15:59:59",303.72,43.7378
"11/6/2009 16:00:01",298.25,43.7378
"11/6/2009 16:00:02",296.43,43.7378
"11/6/2009 16:00:03",296.43,43.7378
"11/6/2009 16:00:04",301.90,43.7378
"11/6/2009 16:00:05",289.10,43.7378
"11/6/2009 16:00:06",298.25,43.7378
"11/6/2009 16:00:07",296.43,43.7378
"11/6/2009 16:00:08",296.43,43.62535
