time,light,"temperature probe"
"11/5/2009 14:53:44",216.19,8.4285
"11/5/2009 14:53:45",218.10,8.54095
"11/5/2009 14:53:46",223.80,8.54095
"11/5/2009 14:53:47",223.80,8.54095
"11/5/2009 14:53:48",220.00,8.54095
"11/5/2009 14:53:49",218.10,8.54095
"11/5/2009 14:53:51",221.90,8.54095
"11/5/2009 14:53:52",221.90,8.54095
"11/5/2009 14:53:53",220.00,8.54095
"11/5/2009 14:53:54",218.10,8.54095
"11/5/2009 14:53:55",223.80,8.54095
"11/5/2009 14:53:56",218.10,8.54095
"11/5/2009 14:53:57",218.10,8.54095
"11/5/2009 14:53:58",221.90,8.54095
"11/5/2009 14:53:59",218.10,8.54095
"11/5/2009 14:54:00",221.90,8.54095
"11/5/2009 14:54:01",218.10,8.54095
"11/5/2009 14:54:02",221.90,8.54095
"11/5/2009 14:54:03",223.80,8.54095
"11/5/2009 14:54:04",220.00,8.54095
"11/5/2009 14:54:05",218.10,8.54095
"11/5/2009 14:54:07",216.19,8.54095
"11/5/2009 14:54:08",216.19,8.54095
"11/5/2009 14:54:09",220.00,8.54095
"11/5/2009 14:54:10",212.38,8.54095
"11/5/2009 14:54:11",220.00,8.54095
"11/5/2009 14:54:12",218.10,8.54095
"11/5/2009 14:54:13",223.80,8.54095
"11/5/2009 14:54:14",216.19,8.54095
"11/5/2009 14:54:15",221.90,8.54095
"11/5/2009 14:54:16",216.19,8.6534
"11/5/2009 14:54:17",221.90,8.6534
"11/5/2009 14:54:18",221.90,8.6534
"11/5/2009 14:54:19",214.29,8.6534
"11/5/2009 14:54:20",218.10,8.6534
"11/5/2009 14:54:21",216.19,8.6534
"11/5/2009 14:54:23",216.19,8.6534
"11/5/2009 14:54:24",221.90,8.6534
"11/5/2009 14:54:25",212.38,8.6534
"11/5/2009 14:54:26",221.90,8.6534
"11/5/2009 14:54:27",220.00,8.6534
"11/5/2009 14:54:28",221.90,8.6534
"11/5/2009 14:54:29",216.19,8.6534
"11/5/2009 14:54:30",218.10,8.6534
"11/5/2009 14:54:31",218.10,8.6534
"11/5/2009 14:54:32",221.90,8.6534
"11/5/2009 14:54:33",216.19,8.6534
"11/5/2009 14:54:34",212.38,8.6534
"11/5/2009 14:54:35",216.19,8.6534
"11/5/2009 14:54:36",220.00,8.6534
"11/5/2009 14:54:37",223.80,8.6534
"11/5/2009 14:54:39",216.19,8.6534
"11/5/2009 14:54:40",221.90,8.6534
"11/5/2009 14:54:41",218.10,8.6534
"11/5/2009 14:54:42",216.19,8.6534
"11/5/2009 14:54:43",221.90,8.6534
"11/5/2009 14:54:44",214.29,8.6534
"11/5/2009 14:54:45",221.90,8.6534
"11/5/2009 14:54:46",218.10,8.76585
"11/5/2009 14:54:47",220.00,8.76585
"11/5/2009 14:54:48",223.80,8.76585
"11/5/2009 14:54:49",220.00,8.76585
"11/5/2009 14:54:50",218.10,8.76585
"11/5/2009 14:54:51",221.90,8.76585
"11/5/2009 14:54:52",214.29,8.76585
"11/5/2009 14:54:53",218.10,8.76585
"11/5/2009 14:54:55",223.80,8.76585
"11/5/2009 14:54:56",221.90,8.76585
"11/5/2009 14:54:57",223.80,8.76585
"11/5/2009 14:54:58",210.47,8.76585
"11/5/2009 14:54:59",210.47,8.76585
"11/5/2009 14:55:00",191.28,8.76585
"11/5/2009 14:55:01",185.49,8.76585
"11/5/2009 14:55:02",191.28,8.76585
"11/5/2009 14:55:03",183.56,8.76585
"11/5/2009 14:55:04",189.35,8.76585
"11/5/2009 14:55:05",195.13,8.76585
"11/5/2009 14:55:06",200.90,8.76585
"11/5/2009 14:55:07",220.00,8.76585
"11/5/2009 14:55:08",220.00,8.76585
"11/5/2009 14:55:09",221.90,8.76585
"11/5/2009 14:55:11",216.19,8.76585
"11/5/2009 14:55:12",212.38,8.8783
"11/5/2009 14:55:13",218.10,8.76585
"11/5/2009 14:55:14",214.29,8.8783
"11/5/2009 14:55:15",218.10,8.8783
"11/5/2009 14:55:16",220.00,8.8783
"11/5/2009 14:55:17",220.00,8.8783
"11/5/2009 14:55:18",212.38,8.8783
"11/5/2009 14:55:19",223.80,8.8783
"11/5/2009 14:55:20",218.10,8.8783
"11/5/2009 14:55:21",221.90,8.8783
"11/5/2009 14:55:22",223.80,8.8783
"11/5/2009 14:55:23",223.80,8.8783
"11/5/2009 14:55:24",218.10,8.8783
"11/5/2009 14:55:26",220.00,8.8783
"11/5/2009 14:55:27",220.00,8.8783
"11/5/2009 14:55:28",214.29,8.8783
"11/5/2009 14:55:29",216.19,8.8783
"11/5/2009 14:55:30",223.80,8.8783
"11/5/2009 14:55:31",225.69,8.8783
"11/5/2009 14:55:32",216.19,8.8783
"11/5/2009 14:55:33",223.80,8.8783
"11/5/2009 14:55:34",223.80,8.8783
"11/5/2009 14:55:35",220.00,8.8783
"11/5/2009 14:55:36",221.90,8.8783
"11/5/2009 14:55:37",218.10,8.8783
"11/5/2009 14:55:38",218.10,8.8783
"11/5/2009 14:55:39",216.19,8.8783
"11/5/2009 14:55:40",223.80,8.8783
"11/5/2009 14:55:42",221.90,8.8783
"11/5/2009 14:55:43",216.19,8.8783
"11/5/2009 14:55:44",218.10,8.8783
"11/5/2009 14:55:45",204.73,8.99075
"11/5/2009 14:55:46",221.90,8.99075
"11/5/2009 14:55:47",218.10,8.99075
"11/5/2009 14:55:48",218.10,8.99075
"11/5/2009 14:55:49",221.90,8.99075
"11/5/2009 14:55:50",220.00,8.99075
"11/5/2009 14:55:51",218.10,8.99075
"11/5/2009 14:55:52",218.10,8.99075
"11/5/2009 14:55:53",221.90,8.99075
"11/5/2009 14:55:54",212.38,8.99075
"11/5/2009 14:55:55",216.19,8.99075
"11/5/2009 14:55:56",221.90,8.99075
"11/5/2009 14:55:58",220.00,8.99075
"11/5/2009 14:55:59",214.29,8.99075
"11/5/2009 14:56:00",216.19,8.99075
"11/5/2009 14:56:01",218.10,8.99075
"11/5/2009 14:56:02",223.80,8.99075
"11/5/2009 14:56:03",218.10,8.99075
"11/5/2009 14:56:04",212.38,8.99075
"11/5/2009 14:56:05",206.65,8.99075
"11/5/2009 14:56:06",191.28,8.99075
"11/5/2009 14:56:07",214.29,8.99075
"11/5/2009 14:56:08",221.90,8.99075
"11/5/2009 14:56:09",218.10,8.99075
"11/5/2009 14:56:10",218.10,8.99075
"11/5/2009 14:56:11",218.10,8.99075
"11/5/2009 14:56:12",218.10,8.99075
"11/5/2009 14:56:14",221.90,8.99075
"11/5/2009 14:56:15",218.10,9.1032
"11/5/2009 14:56:16",223.80,9.1032
"11/5/2009 14:56:17",221.90,9.1032
"11/5/2009 14:56:18",221.90,9.1032
"11/5/2009 14:56:19",218.10,9.1032
"11/5/2009 14:56:20",223.80,9.1032
"11/5/2009 14:56:21",223.80,9.1032
"11/5/2009 14:56:22",216.19,9.1032
"11/5/2009 14:56:23",216.19,9.1032
"11/5/2009 14:56:24",218.10,9.1032
"11/5/2009 14:56:25",221.90,9.1032
"11/5/2009 14:56:26",220.00,9.1032
"11/5/2009 14:56:27",220.00,9.1032
"11/5/2009 14:56:28",220.00,9.1032
"11/5/2009 14:56:30",221.90,9.1032
"11/5/2009 14:56:31",221.90,9.1032
"11/5/2009 14:56:32",220.00,9.1032
"11/5/2009 14:56:33",221.90,9.1032
"11/5/2009 14:56:34",218.10,9.1032
"11/5/2009 14:56:35",223.80,9.1032
"11/5/2009 14:56:36",221.90,9.1032
"11/5/2009 14:56:37",218.10,9.1032
"11/5/2009 14:56:38",223.80,9.1032
"11/5/2009 14:56:39",214.29,9.1032
"11/5/2009 14:56:40",223.80,9.1032
"11/5/2009 14:56:41",223.80,9.1032
"11/5/2009 14:56:42",221.90,9.1032
"11/5/2009 14:56:43",221.90,9.1032
"11/5/2009 14:56:44",218.10,9.1032
"11/5/2009 14:56:46",216.19,9.1032
"11/5/2009 14:56:47",216.19,9.1032
"11/5/2009 14:56:48",214.29,9.1032
"11/5/2009 14:56:49",212.38,9.1032
"11/5/2009 14:56:50",218.10,9.21565
"11/5/2009 14:56:51",218.10,9.21565
"11/5/2009 14:56:52",223.80,9.21565
"11/5/2009 14:56:53",223.80,9.21565
"11/5/2009 14:56:54",221.90,9.21565
"11/5/2009 14:56:55",218.10,9.21565
"11/5/2009 14:56:56",223.80,9.21565
"11/5/2009 14:56:57",216.19,9.21565
"11/5/2009 14:56:58",221.90,9.21565
"11/5/2009 14:56:59",214.29,9.21565
"11/5/2009 14:57:01",220.00,9.21565
"11/5/2009 14:57:02",216.19,9.21565
"11/5/2009 14:57:03",221.90,9.21565
"11/5/2009 14:57:04",225.69,9.21565
"11/5/2009 14:57:05",223.80,9.21565
"11/5/2009 14:57:06",218.10,9.21565
"11/5/2009 14:57:07",214.29,9.21565
"11/5/2009 14:57:08",223.80,9.21565
"11/5/2009 14:57:09",223.80,9.21565
"11/5/2009 14:57:10",221.90,9.21565
"11/5/2009 14:57:11",218.10,9.21565
"11/5/2009 14:57:12",220.00,9.21565
"11/5/2009 14:57:13",223.80,9.21565
"11/5/2009 14:57:14",218.10,9.21565
"11/5/2009 14:57:15",221.90,9.21565
"11/5/2009 14:57:17",214.29,9.21565
"11/5/2009 14:57:18",220.00,9.21565
"11/5/2009 14:57:19",220.00,9.21565
"11/5/2009 14:57:20",221.90,9.3281
"11/5/2009 14:57:21",221.90,9.3281
"11/5/2009 14:57:22",221.90,9.3281
"11/5/2009 14:57:23",218.10,9.3281
"11/5/2009 14:57:24",218.10,9.3281
"11/5/2009 14:57:25",218.10,9.3281
"11/5/2009 14:57:26",223.80,9.3281
"11/5/2009 14:57:27",212.38,9.3281
"11/5/2009 14:57:28",220.00,9.3281
"11/5/2009 14:57:29",218.10,9.3281
"11/5/2009 14:57:30",218.10,9.3281
"11/5/2009 14:57:31",220.00,9.3281
