time,temp
"Jul 22 2009 09:02:29",28.60
"Jul 22 2009 09:02:30",28.60
"Jul 22 2009 09:02:31",28.60
"Jul 22 2009 09:02:32",28.60
"Jul 22 2009 09:02:33",28.60
"Jul 22 2009 09:02:35",28.60
"Jul 22 2009 09:02:36",28.60
"Jul 22 2009 09:02:37",28.60
"Jul 22 2009 09:02:38",28.60
"Jul 22 2009 09:02:39",28.60
"Jul 22 2009 09:02:40",28.60
"Jul 22 2009 09:02:41",28.60
"Jul 22 2009 09:02:42",27.21
"Jul 22 2009 09:02:43",27.21
"Jul 22 2009 09:02:44",27.21
"Jul 22 2009 09:02:45",27.21
"Jul 22 2009 09:02:47",27.21
"Jul 22 2009 09:02:48",27.21
"Jul 22 2009 09:02:49",27.21
"Jul 22 2009 09:02:50",27.21
"Jul 22 2009 09:02:51",27.21
"Jul 22 2009 09:02:52",27.21
"Jul 22 2009 09:02:53",27.21
"Jul 22 2009 09:02:54",27.21
"Jul 22 2009 09:02:55",27.21
"Jul 22 2009 09:02:56",27.21
"Jul 22 2009 09:02:57",27.21
"Jul 22 2009 09:02:59",27.21
"Jul 22 2009 09:03:00",27.21
"Jul 22 2009 09:03:01",27.21
"Jul 22 2009 09:03:02",27.21
"Jul 22 2009 09:03:03",27.21
"Jul 22 2009 09:03:04",27.21
"Jul 22 2009 09:03:05",27.21
"Jul 22 2009 09:03:06",27.21
"Jul 22 2009 09:03:07",27.21
"Jul 22 2009 09:03:08",27.21
"Jul 22 2009 09:03:09",27.21
"Jul 22 2009 09:03:11",27.21
"Jul 22 2009 09:03:12",27.21
"Jul 22 2009 09:03:13",27.21
"Jul 22 2009 09:03:14",27.21
"Jul 22 2009 09:03:15",27.21
"Jul 22 2009 09:03:16",27.21
"Jul 22 2009 09:03:17",27.21
"Jul 22 2009 09:03:18",27.21
"Jul 22 2009 09:03:19",27.21
"Jul 22 2009 09:03:20",27.21
"Jul 22 2009 09:03:22",27.21
"Jul 22 2009 09:03:23",27.21
"Jul 22 2009 09:03:24",27.21
"Jul 22 2009 09:03:25",27.21
"Jul 22 2009 09:03:26",27.21
"Jul 22 2009 09:03:27",27.21
"Jul 22 2009 09:03:28",27.21
"Jul 22 2009 09:03:29",27.21
