time,ext
"Jun 26 2009 14:59:43",23.50
"Jun 26 2009 14:59:44",23.50
"Jun 26 2009 14:59:46",23.50
"Jun 26 2009 14:59:47",23.50
"Jun 26 2009 14:59:48",23.50
"Jun 26 2009 14:59:49",23.50
"Jun 26 2009 14:59:50",23.50
"Jun 26 2009 14:59:51",23.50
"Jun 26 2009 14:59:52",23.50
"Jun 26 2009 14:59:53",23.05
"Jun 26 2009 14:59:54",23.05
"Jun 26 2009 14:59:55",23.05
"Jun 26 2009 14:59:56",23.05
"Jun 26 2009 14:59:57",23.05
"Jun 26 2009 14:59:59",23.05
"Jun 26 2009 15:00:00",23.05
"Jun 26 2009 15:00:01",23.05
"Jun 26 2009 15:00:02",22.60
"Jun 26 2009 15:00:03",22.60
"Jun 26 2009 15:00:04",22.60
"Jun 26 2009 15:00:05",22.60
"Jun 26 2009 15:00:06",22.15
"Jun 26 2009 15:00:07",22.15
"Jun 26 2009 15:00:08",22.15
"Jun 26 2009 15:00:09",22.15
"Jun 26 2009 15:00:10",22.15
"Jun 26 2009 15:00:12",22.15
"Jun 26 2009 15:00:13",22.15
"Jun 26 2009 15:00:14",22.15
"Jun 26 2009 15:00:15",22.15
"Jun 26 2009 15:00:16",21.70
"Jun 26 2009 15:00:17",21.70
"Jun 26 2009 15:00:18",21.70
"Jun 26 2009 15:00:19",21.70
"Jun 26 2009 15:00:20",21.70
"Jun 26 2009 15:00:21",21.70
"Jun 26 2009 15:00:22",21.70
"Jun 26 2009 15:00:23",21.70
"Jun 26 2009 15:00:24",21.70
"Jun 26 2009 15:00:26",21.70
"Jun 26 2009 15:00:27",21.70
"Jun 26 2009 15:00:28",21.70
"Jun 26 2009 15:00:29",21.70
"Jun 26 2009 15:00:30",21.70
"Jun 26 2009 15:00:31",21.70
"Jun 26 2009 15:00:32",21.70
"Jun 26 2009 15:00:33",21.70
"Jun 26 2009 15:00:34",21.70
"Jun 26 2009 15:00:35",21.70
"Jun 26 2009 15:00:36",21.70
"Jun 26 2009 15:00:37",21.70
"Jun 26 2009 15:00:39",21.70
"Jun 26 2009 15:00:40",21.70
"Jun 26 2009 15:00:41",21.70
"Jun 26 2009 15:00:42",21.70
"Jun 26 2009 15:00:43",21.70
"Jun 26 2009 15:00:44",21.70
"Jun 26 2009 15:00:45",21.70
"Jun 26 2009 15:00:46",21.70
"Jun 26 2009 15:00:47",21.70
"Jun 26 2009 15:00:48",21.70
"Jun 26 2009 15:00:49",21.70
"Jun 26 2009 15:00:50",21.70
"Jun 26 2009 15:00:52",21.70
"Jun 26 2009 15:00:53",21.70
"Jun 26 2009 15:00:54",21.70
"Jun 26 2009 15:00:55",21.70
"Jun 26 2009 15:00:56",21.70
"Jun 26 2009 15:00:57",21.70
"Jun 26 2009 15:00:58",21.70
"Jun 26 2009 15:00:59",21.70
"Jun 26 2009 15:01:00",21.70
"Jun 26 2009 15:01:01",21.70
"Jun 26 2009 15:01:02",21.70
"Jun 26 2009 15:01:03",21.25
"Jun 26 2009 15:01:05",20.80
"Jun 26 2009 15:01:06",20.35
"Jun 26 2009 15:01:07",19.45
"Jun 26 2009 15:01:08",19.00
"Jun 26 2009 15:01:09",18.55
"Jun 26 2009 15:01:10",18.55
"Jun 26 2009 15:01:11",18.10
"Jun 26 2009 15:01:12",18.10
"Jun 26 2009 15:01:13",17.65
"Jun 26 2009 15:01:14",17.65
"Jun 26 2009 15:01:15",17.20
"Jun 26 2009 15:01:16",17.20
"Jun 26 2009 15:01:17",16.75
