time,ext
"Jun 26 2009 15:25:42",20.35
"Jun 26 2009 15:25:43",20.35
"Jun 26 2009 15:25:44",20.35
"Jun 26 2009 15:25:45",20.35
"Jun 26 2009 15:25:46",19.90
"Jun 26 2009 15:25:47",19.90
"Jun 26 2009 15:25:48",19.90
"Jun 26 2009 15:25:49",19.90
"Jun 26 2009 15:25:50",19.90
"Jun 26 2009 15:25:51",19.90
"Jun 26 2009 15:25:52",19.90
"Jun 26 2009 15:25:53",19.45
"Jun 26 2009 15:25:54",19.90
"Jun 26 2009 15:25:55",19.90
"Jun 26 2009 15:25:56",19.45
"Jun 26 2009 15:25:58",19.90
"Jun 26 2009 15:25:59",19.90
"Jun 26 2009 15:26:00",19.90
"Jun 26 2009 15:26:01",20.35
"Jun 26 2009 15:26:02",20.35
"Jun 26 2009 15:26:03",20.35
"Jun 26 2009 15:26:04",20.35
"Jun 26 2009 15:26:05",20.35
"Jun 26 2009 15:26:06",20.35
"Jun 26 2009 15:26:07",20.35
"Jun 26 2009 15:26:08",20.35
"Jun 26 2009 15:26:09",20.35
"Jun 26 2009 15:26:10",20.35
"Jun 26 2009 15:26:11",20.35
"Jun 26 2009 15:26:12",20.35
"Jun 26 2009 15:26:13",20.80
"Jun 26 2009 15:26:14",20.35
"Jun 26 2009 15:26:15",20.80
"Jun 26 2009 15:26:16",20.35
"Jun 26 2009 15:26:17",19.45
"Jun 26 2009 15:26:18",19.00
"Jun 26 2009 15:26:20",18.55
"Jun 26 2009 15:26:21",17.65
"Jun 26 2009 15:26:22",17.20
"Jun 26 2009 15:26:23",16.75
"Jun 26 2009 15:26:24",16.30
"Jun 26 2009 15:26:25",16.30
"Jun 26 2009 15:26:26",15.85
"Jun 26 2009 15:26:27",15.40
"Jun 26 2009 15:26:28",15.40
"Jun 26 2009 15:26:29",14.95
"Jun 26 2009 15:26:30",14.95
"Jun 26 2009 15:26:31",14.95
"Jun 26 2009 15:26:32",14.50
"Jun 26 2009 15:26:33",14.50
"Jun 26 2009 15:26:34",14.50
"Jun 26 2009 15:26:35",14.50
"Jun 26 2009 15:26:36",14.50
"Jun 26 2009 15:26:37",14.50
"Jun 26 2009 15:26:38",14.50
"Jun 26 2009 15:26:39",14.50
"Jun 26 2009 15:26:41",14.50
"Jun 26 2009 15:26:42",14.50
"Jun 26 2009 15:26:43",14.50
"Jun 26 2009 15:26:44",14.50
"Jun 26 2009 15:26:45",14.50
"Jun 26 2009 15:26:46",14.50
"Jun 26 2009 15:26:47",14.05
"Jun 26 2009 15:26:48",14.05
"Jun 26 2009 15:26:49",14.05
"Jun 26 2009 15:26:50",14.05
"Jun 26 2009 15:26:51",14.05
"Jun 26 2009 15:26:52",14.05
"Jun 26 2009 15:26:53",14.05
"Jun 26 2009 15:26:54",14.05
"Jun 26 2009 15:26:55",14.05
"Jun 26 2009 15:26:56",14.05
"Jun 26 2009 15:26:57",14.05
"Jun 26 2009 15:26:58",14.05
"Jun 26 2009 15:26:59",14.05
"Jun 26 2009 15:27:00",14.05
"Jun 26 2009 15:27:02",14.05
"Jun 26 2009 15:27:03",14.05
"Jun 26 2009 15:27:04",14.05
"Jun 26 2009 15:27:05",14.05
"Jun 26 2009 15:27:06",14.05
"Jun 26 2009 15:27:07",14.05
"Jun 26 2009 15:27:08",14.50
"Jun 26 2009 15:27:09",14.50
"Jun 26 2009 15:27:10",14.50
"Jun 26 2009 15:27:11",14.50
"Jun 26 2009 15:27:12",14.50
"Jun 26 2009 15:27:13",14.50
"Jun 26 2009 15:27:14",14.50
"Jun 26 2009 15:27:15",14.50
"Jun 26 2009 15:27:16",14.50
"Jun 26 2009 15:27:17",14.50
"Jun 26 2009 15:27:18",14.50
"Jun 26 2009 15:27:19",14.50
"Jun 26 2009 15:27:20",14.50
"Jun 26 2009 15:27:21",14.50
"Jun 26 2009 15:27:22",14.50
"Jun 26 2009 15:27:24",14.50
