time,ext
"Jun 26 2009 14:59:47",23.50
"Jun 26 2009 14:59:48",23.50
"Jun 26 2009 14:59:49",23.50
"Jun 26 2009 14:59:50",23.50
"Jun 26 2009 14:59:51",23.50
"Jun 26 2009 14:59:52",23.50
"Jun 26 2009 14:59:53",23.50
"Jun 26 2009 14:59:54",23.50
"Jun 26 2009 14:59:55",23.50
"Jun 26 2009 14:59:56",23.50
"Jun 26 2009 14:59:58",23.50
"Jun 26 2009 14:59:59",23.05
"Jun 26 2009 15:00:00",23.05
"Jun 26 2009 15:00:01",23.05
"Jun 26 2009 15:00:02",23.05
"Jun 26 2009 15:00:03",23.05
"Jun 26 2009 15:00:04",23.05
"Jun 26 2009 15:00:05",23.05
"Jun 26 2009 15:00:06",23.05
"Jun 26 2009 15:00:07",23.05
"Jun 26 2009 15:00:09",23.05
"Jun 26 2009 15:00:10",23.05
"Jun 26 2009 15:00:11",23.05
"Jun 26 2009 15:00:12",33.39
"Jun 26 2009 15:00:13",32.94
"Jun 26 2009 15:00:14",29.79
"Jun 26 2009 15:00:15",27.54
"Jun 26 2009 15:00:16",26.65
"Jun 26 2009 15:00:17",26.20
"Jun 26 2009 15:00:18",24.85
"Jun 26 2009 15:00:19",23.95
"Jun 26 2009 15:00:21",23.95
"Jun 26 2009 15:00:22",23.05
"Jun 26 2009 15:00:23",22.15
"Jun 26 2009 15:00:24",21.25
"Jun 26 2009 15:00:25",21.25
"Jun 26 2009 15:00:26",20.80
"Jun 26 2009 15:00:27",20.35
"Jun 26 2009 15:00:28",19.90
"Jun 26 2009 15:00:29",19.90
"Jun 26 2009 15:00:30",19.90
"Jun 26 2009 15:00:31",19.45
"Jun 26 2009 15:00:33",19.00
"Jun 26 2009 15:00:34",19.00
"Jun 26 2009 15:00:35",19.00
"Jun 26 2009 15:00:36",18.55
"Jun 26 2009 15:00:37",18.55
"Jun 26 2009 15:00:38",18.55
"Jun 26 2009 15:00:39",18.55
"Jun 26 2009 15:00:40",18.10
"Jun 26 2009 15:00:41",18.10
"Jun 26 2009 15:00:42",18.10
"Jun 26 2009 15:00:43",18.10
"Jun 26 2009 15:00:45",18.10
"Jun 26 2009 15:00:46",17.65
"Jun 26 2009 15:00:47",17.65
"Jun 26 2009 15:00:48",17.20
"Jun 26 2009 15:00:49",17.20
"Jun 26 2009 15:00:50",17.20
"Jun 26 2009 15:00:51",17.20
"Jun 26 2009 15:00:52",17.20
"Jun 26 2009 15:00:53",16.75
"Jun 26 2009 15:00:54",16.75
"Jun 26 2009 15:00:55",16.75
"Jun 26 2009 15:00:57",16.75
"Jun 26 2009 15:00:58",16.30
"Jun 26 2009 15:00:59",16.30
"Jun 26 2009 15:01:00",16.30
"Jun 26 2009 15:01:01",15.85
"Jun 26 2009 15:01:02",15.85
"Jun 26 2009 15:01:03",15.40
"Jun 26 2009 15:01:04",15.40
"Jun 26 2009 15:01:05",15.40
"Jun 26 2009 15:01:06",14.95
"Jun 26 2009 15:01:08",14.95
"Jun 26 2009 15:01:09",14.95
"Jun 26 2009 15:01:10",14.95
"Jun 26 2009 15:01:11",14.95
"Jun 26 2009 15:01:12",14.50
"Jun 26 2009 15:01:13",14.50
"Jun 26 2009 15:01:14",14.05
"Jun 26 2009 15:01:15",14.05
"Jun 26 2009 15:01:16",14.05
"Jun 26 2009 15:01:17",14.05
"Jun 26 2009 15:01:18",14.05
"Jun 26 2009 15:01:20",14.05
"Jun 26 2009 15:01:21",14.05
"Jun 26 2009 15:01:22",14.05
