time,external
"Jul 22 2009 09:30:50",23.50
"Jul 22 2009 09:30:51",23.50
"Jul 22 2009 09:30:52",23.50
"Jul 22 2009 09:30:53",23.50
"Jul 22 2009 09:30:55",23.50
"Jul 22 2009 09:30:56",23.50
"Jul 22 2009 09:30:57",23.50
"Jul 22 2009 09:30:58",23.50
"Jul 22 2009 09:30:59",23.50
"Jul 22 2009 09:31:00",23.50
"Jul 22 2009 09:31:01",23.50
"Jul 22 2009 09:31:02",23.50
"Jul 22 2009 09:31:03",23.05
"Jul 22 2009 09:31:04",25.75
"Jul 22 2009 09:31:05",29.79
"Jul 22 2009 09:31:06",24.85
"Jul 22 2009 09:31:07",25.75
"Jul 22 2009 09:31:08",24.40
"Jul 22 2009 09:31:10",23.95
"Jul 22 2009 09:31:11",24.85
"Jul 22 2009 09:31:12",24.40
"Jul 22 2009 09:31:13",25.30
"Jul 22 2009 09:31:14",23.50
"Jul 22 2009 09:31:15",23.95
"Jul 22 2009 09:31:16",23.05
"Jul 22 2009 09:31:17",23.05
"Jul 22 2009 09:31:18",23.50
"Jul 22 2009 09:31:19",23.05
"Jul 22 2009 09:31:20",22.60
"Jul 22 2009 09:31:21",21.70
"Jul 22 2009 09:31:22",23.05
"Jul 22 2009 09:31:24",23.05
"Jul 22 2009 09:31:25",21.25
"Jul 22 2009 09:31:26",21.70
"Jul 22 2009 09:31:27",21.70
"Jul 22 2009 09:31:28",21.70
"Jul 22 2009 09:31:29",20.80
"Jul 22 2009 09:31:30",20.80
"Jul 22 2009 09:31:31",19.90
"Jul 22 2009 09:31:32",19.00
"Jul 22 2009 09:31:33",19.00
"Jul 22 2009 09:31:34",18.55
"Jul 22 2009 09:31:35",18.55
"Jul 22 2009 09:31:35",18.10
"Jul 22 2009 09:31:38",18.55
"Jul 22 2009 09:31:39",18.55
"Jul 22 2009 09:31:40",18.55
"Jul 22 2009 09:31:41",18.55
"Jul 22 2009 09:31:42",18.55
"Jul 22 2009 09:31:43",18.55
"Jul 22 2009 09:31:44",18.55
"Jul 22 2009 09:31:45",18.55
"Jul 22 2009 09:31:46",18.55
"Jul 22 2009 09:31:47",18.10
"Jul 22 2009 09:31:48",17.65
"Jul 22 2009 09:31:49",17.20
"Jul 22 2009 09:31:50",17.20
