time,ext
"Jun 26 2009 15:22:19",21.25
"Jun 26 2009 15:22:20",21.25
"Jun 26 2009 15:22:21",21.25
"Jun 26 2009 15:22:22",21.25
"Jun 26 2009 15:22:23",21.25
"Jun 26 2009 15:22:24",21.25
"Jun 26 2009 15:22:25",21.25
"Jun 26 2009 15:22:26",21.25
"Jun 26 2009 15:22:28",21.25
"Jun 26 2009 15:22:29",21.25
"Jun 26 2009 15:22:30",21.25
"Jun 26 2009 15:22:31",21.25
"Jun 26 2009 15:22:32",21.25
"Jun 26 2009 15:22:33",21.25
"Jun 26 2009 15:22:34",21.25
"Jun 26 2009 15:22:35",21.25
"Jun 26 2009 15:22:36",21.25
"Jun 26 2009 15:22:37",21.25
"Jun 26 2009 15:22:38",21.25
"Jun 26 2009 15:22:40",22.60
"Jun 26 2009 15:22:41",23.95
"Jun 26 2009 15:22:42",24.40
"Jun 26 2009 15:22:43",24.40
"Jun 26 2009 15:22:44",24.40
"Jun 26 2009 15:22:45",25.30
"Jun 26 2009 15:22:46",24.85
"Jun 26 2009 15:22:47",24.85
"Jun 26 2009 15:22:48",24.85
"Jun 26 2009 15:22:49",24.85
"Jun 26 2009 15:22:50",24.85
"Jun 26 2009 15:22:51",24.85
"Jun 26 2009 15:22:53",24.85
"Jun 26 2009 15:22:54",24.85
"Jun 26 2009 15:22:55",24.85
"Jun 26 2009 15:22:56",24.85
"Jun 26 2009 15:22:57",24.85
"Jun 26 2009 15:22:58",24.85
"Jun 26 2009 15:22:59",24.85
"Jun 26 2009 15:23:00",24.85
"Jun 26 2009 15:23:01",24.85
"Jun 26 2009 15:23:02",24.85
"Jun 26 2009 15:23:03",24.40
"Jun 26 2009 15:23:05",24.40
"Jun 26 2009 15:23:06",23.05
"Jun 26 2009 15:23:07",22.15
"Jun 26 2009 15:23:08",21.25
"Jun 26 2009 15:23:09",21.25
"Jun 26 2009 15:23:10",21.25
"Jun 26 2009 15:23:11",21.25
"Jun 26 2009 15:23:12",20.80
"Jun 26 2009 15:23:13",19.00
"Jun 26 2009 15:23:14",17.65
"Jun 26 2009 15:23:15",16.75
"Jun 26 2009 15:23:16",16.30
"Jun 26 2009 15:23:18",15.85
"Jun 26 2009 15:23:19",15.40
"Jun 26 2009 15:23:20",14.95
"Jun 26 2009 15:23:21",14.95
"Jun 26 2009 15:23:22",14.95
"Jun 26 2009 15:23:23",14.50
"Jun 26 2009 15:23:24",14.50
"Jun 26 2009 15:23:25",14.50
"Jun 26 2009 15:23:26",14.05
"Jun 26 2009 15:23:27",14.05
"Jun 26 2009 15:23:28",14.05
"Jun 26 2009 15:23:29",14.05
"Jun 26 2009 15:23:31",13.60
"Jun 26 2009 15:23:32",14.05
"Jun 26 2009 15:23:33",14.05
"Jun 26 2009 15:23:34",13.60
"Jun 26 2009 15:23:35",14.05
"Jun 26 2009 15:23:36",14.05
"Jun 26 2009 15:23:37",14.05
"Jun 26 2009 15:23:38",14.05
"Jun 26 2009 15:23:39",14.05
"Jun 26 2009 15:23:40",14.05
"Jun 26 2009 15:23:41",13.60
"Jun 26 2009 15:23:43",13.60
"Jun 26 2009 15:23:44",14.05
"Jun 26 2009 15:23:45",14.05
"Jun 26 2009 15:23:46",13.60
"Jun 26 2009 15:23:47",14.05
"Jun 26 2009 15:23:48",13.60
"Jun 26 2009 15:23:49",13.60
"Jun 26 2009 15:23:50",13.60
"Jun 26 2009 15:23:51",13.60
"Jun 26 2009 15:23:52",13.60
"Jun 26 2009 15:23:53",13.60
"Jun 26 2009 15:23:54",13.60
"Jun 26 2009 15:23:56",13.60
"Jun 26 2009 15:23:57",13.60
"Jun 26 2009 15:23:58",13.60
"Jun 26 2009 15:23:59",13.60
"Jun 26 2009 15:24:00",13.60
"Jun 26 2009 15:24:01",13.60
"Jun 26 2009 15:24:02",13.60
"Jun 26 2009 15:24:03",13.60
"Jun 26 2009 15:24:04",13.60
"Jun 26 2009 15:24:05",13.60
"Jun 26 2009 15:24:06",13.60
"Jun 26 2009 15:24:07",13.60
"Jun 26 2009 15:24:09",13.60
"Jun 26 2009 15:24:10",13.60
"Jun 26 2009 15:24:11",13.60
"Jun 26 2009 15:24:12",13.60
"Jun 26 2009 15:24:13",13.60
"Jun 26 2009 15:24:14",13.60
"Jun 26 2009 15:24:15",13.60
"Jun 26 2009 15:24:16",13.60
"Jun 26 2009 15:24:17",13.60
"Jun 26 2009 15:24:18",13.60
"Jun 26 2009 15:24:19",13.60
"Jun 26 2009 15:24:21",13.60
"Jun 26 2009 15:24:22",13.60
"Jun 26 2009 15:24:23",13.60
"Jun 26 2009 15:24:24",13.60
"Jun 26 2009 15:24:25",13.60
"Jun 26 2009 15:24:26",13.60
"Jun 26 2009 15:24:27",13.60
"Jun 26 2009 15:24:28",13.60
"Jun 26 2009 15:24:29",13.60
"Jun 26 2009 15:24:30",13.60
"Jun 26 2009 15:24:31",13.60
"Jun 26 2009 15:24:32",13.60
"Jun 26 2009 15:24:34",13.60
"Jun 26 2009 15:24:35",13.60
"Jun 26 2009 15:24:36",13.60
"Jun 26 2009 15:24:37",13.60
"Jun 26 2009 15:24:38",13.60
"Jun 26 2009 15:24:39",13.60
"Jun 26 2009 15:24:40",13.60
"Jun 26 2009 15:24:41",13.60
"Jun 26 2009 15:24:42",13.60
"Jun 26 2009 15:24:43",13.60
"Jun 26 2009 15:24:44",13.60
"Jun 26 2009 15:24:46",13.60
"Jun 26 2009 15:24:47",13.60
"Jun 26 2009 15:24:48",13.60
"Jun 26 2009 15:24:49",13.60
"Jun 26 2009 15:24:50",13.60
"Jun 26 2009 15:24:51",13.60
"Jun 26 2009 15:24:52",13.60
"Jun 26 2009 15:24:53",13.60
"Jun 26 2009 15:24:54",13.60
"Jun 26 2009 15:24:55",13.60
"Jun 26 2009 15:24:56",13.60
"Jun 26 2009 15:24:57",13.60
"Jun 26 2009 15:24:59",13.60
"Jun 26 2009 15:25:00",13.60
"Jun 26 2009 15:25:01",13.60
"Jun 26 2009 15:25:02",13.60
