time,external
"Jul 22 2009 09:30:53",25.75
"Jul 22 2009 09:30:54",25.75
"Jul 22 2009 09:30:55",25.75
"Jul 22 2009 09:30:57",25.75
"Jul 22 2009 09:30:58",25.75
"Jul 22 2009 09:30:59",35.64
"Jul 22 2009 09:31:00",36.09
"Jul 22 2009 09:31:01",39.69
"Jul 22 2009 09:31:02",29.79
"Jul 22 2009 09:31:03",29.79
"Jul 22 2009 09:31:04",27.54
"Jul 22 2009 09:31:05",27.10
"Jul 22 2009 09:31:06",26.20
"Jul 22 2009 09:31:07",25.75
"Jul 22 2009 09:31:08",26.20
"Jul 22 2009 09:31:09",25.75
"Jul 22 2009 09:31:11",26.65
"Jul 22 2009 09:31:12",27.10
"Jul 22 2009 09:31:13",27.54
"Jul 22 2009 09:31:14",27.10
"Jul 22 2009 09:31:15",27.10
"Jul 22 2009 09:31:16",26.65
"Jul 22 2009 09:31:17",26.65
"Jul 22 2009 09:31:18",26.20
"Jul 22 2009 09:31:19",25.75
"Jul 22 2009 09:31:20",25.30
"Jul 22 2009 09:31:21",24.85
"Jul 22 2009 09:31:22",25.30
"Jul 22 2009 09:31:24",24.85
"Jul 22 2009 09:31:25",24.85
"Jul 22 2009 09:31:26",24.85
"Jul 22 2009 09:31:27",25.30
"Jul 22 2009 09:31:28",26.20
"Jul 22 2009 09:31:29",25.75
"Jul 22 2009 09:31:30",25.30
"Jul 22 2009 09:31:31",25.30
"Jul 22 2009 09:31:32",24.85
"Jul 22 2009 09:31:33",25.75
"Jul 22 2009 09:31:34",25.30
"Jul 22 2009 09:31:35",24.40
"Jul 22 2009 09:31:37",25.30
"Jul 22 2009 09:31:38",24.85
"Jul 22 2009 09:31:39",24.85
"Jul 22 2009 09:31:40",24.85
"Jul 22 2009 09:31:41",24.40
"Jul 22 2009 09:31:42",24.85
"Jul 22 2009 09:31:43",24.40
"Jul 22 2009 09:31:44",24.40
"Jul 22 2009 09:31:45",24.85
"Jul 22 2009 09:31:46",24.85
"Jul 22 2009 09:31:47",24.40
"Jul 22 2009 09:31:48",23.50
"Jul 22 2009 09:31:49",23.50
"Jul 22 2009 09:31:51",23.95
"Jul 22 2009 09:31:52",23.95
"Jul 22 2009 09:31:53",23.95
"Jul 22 2009 09:31:54",23.95
"Jul 22 2009 09:31:55",23.50
"Jul 22 2009 09:31:56",23.50
"Jul 22 2009 09:31:57",22.60
"Jul 22 2009 09:31:58",23.50
"Jul 22 2009 09:31:59",22.60
"Jul 22 2009 09:32:00",22.15
"Jul 22 2009 09:32:01",22.60
"Jul 22 2009 09:32:02",23.50
"Jul 22 2009 09:32:04",22.60
"Jul 22 2009 09:32:05",22.60
"Jul 22 2009 09:32:06",22.60
"Jul 22 2009 09:32:07",22.60
"Jul 22 2009 09:32:08",22.60
"Jul 22 2009 09:32:09",22.60
"Jul 22 2009 09:32:10",22.15
"Jul 22 2009 09:32:11",22.60
"Jul 22 2009 09:32:12",22.15
"Jul 22 2009 09:32:13",23.05
"Jul 22 2009 09:32:26",22.15
"Jul 22 2009 09:32:27",23.05
"Jul 22 2009 09:32:28",23.50
"Jul 22 2009 09:32:29",21.70
"Jul 22 2009 09:32:30",21.25
"Jul 22 2009 09:32:31",20.80
