time,"cricket temperature probe"
"11/2/2009 08:44:58",21.6976
"11/2/2009 08:44:59",21.58515
"11/2/2009 08:45:00",21.81005
"11/2/2009 08:45:01",21.58515
"11/2/2009 08:45:02",21.81005
"11/2/2009 08:45:03",22.48475
"11/2/2009 08:45:04",22.93455
"11/2/2009 08:45:05",24.50885
"11/2/2009 08:45:06",25.5209
"11/2/2009 08:45:07",26.4205
"11/2/2009 08:45:08",26.98275
"11/2/2009 08:45:09",27.20765
"11/2/2009 08:45:10",27.9948
"11/2/2009 08:45:12",28.55705
"11/2/2009 08:45:13",29.1193
"11/2/2009 08:45:14",29.90645
"11/2/2009 08:45:15",30.2438
"11/2/2009 08:45:16",30.6936
"11/2/2009 08:45:17",31.1434
"11/2/2009 08:45:18",31.3683
"11/2/2009 08:45:19",31.3683
"11/2/2009 08:45:20",31.48075
"11/2/2009 08:45:21",32.15545
"11/2/2009 08:45:23",32.15545
"11/2/2009 08:45:24",32.15545
"11/2/2009 08:45:26",32.0430
"11/2/2009 08:45:27",32.4928
"11/2/2009 08:45:28",32.38035
"11/2/2009 08:45:29",32.0430
"11/2/2009 08:45:30",32.60525
"11/2/2009 08:45:31",32.38035
"11/2/2009 08:45:32",32.60525
"11/2/2009 08:45:33",32.60525
"11/2/2009 08:45:34",32.4928
"11/2/2009 08:45:35",32.60525
"11/2/2009 08:45:36",32.83015
"11/2/2009 08:45:37",32.7177
"11/2/2009 08:45:38",33.1675
"11/2/2009 08:45:40",32.7177
"11/2/2009 08:45:43",32.60525
"11/2/2009 08:45:44",32.7177
"11/2/2009 08:45:45",32.4928
"11/2/2009 08:45:50",32.4928
"11/2/2009 08:45:51",32.9426
"11/2/2009 08:45:52",32.83015
"11/2/2009 08:45:53",33.05505
"11/2/2009 08:45:55",32.9426
"11/2/2009 08:45:56",32.9426
"11/2/2009 08:45:57",32.9426
