Latitude, Longitude, Time
42.655019760131836, -71.32634282112122, 06/25/2010 14:23:33
42.65513777732849, -71.32607996463776, 06/25/2010 14:24:33
42.65591025352478, -71.32602095603943, 06/25/2010 14:25:33
42.656296491622925, -71.32467985153198, 06/25/2010 14:26:33
42.657026052474976, -71.32442235946655, 06/25/2010 14:27:33
42.657524943351746, -71.32402002811432, 06/25/2010 14:28:33
42.65796482563019, -71.32421851158142, 06/25/2010 14:29:33
42.657803893089294, -71.32553279399872, 06/25/2010 14:30:33
42.65389323234558, -71.32688462734222, 06/25/2010 14:31:33
42.6526004076004, -71.32543087005615, 06/25/2010 14:32:33
42.6511412858963, -71.32345139980316, 06/25/2010 14:33:33
42.64792263507843, -71.32400393486023, 06/25/2010 14:34:33
42.64415144920349, -71.32051706314087, 06/25/2010 14:35:33
42.64098644256592, -71.31722867488861, 06/25/2010 14:36:33
42.637585401535034, -71.31404221057892, 06/25/2010 14:37:33
42.635321617126465, -71.31197690963745, 06/25/2010 14:38:33
42.62836933135986, -71.31878435611725, 06/25/2010 14:39:33
42.614378929138184, -71.32040977478027, 06/25/2010 14:40:33
42.600147128105164, -71.32118761539459, 06/25/2010 14:41:33
42.58968114852905, -71.31367206573486, 06/25/2010 14:42:33
42.57519721984863, -71.30573272705078, 06/25/2010 14:43:33
42.56077229976654, -71.29788994789124, 06/25/2010 14:44:33
42.54781723022461, -71.28763854503632, 06/25/2010 14:45:33
42.53424525260925, -71.27807915210724, 06/25/2010 14:46:33
42.52291560173035, -71.26464128494263, 06/25/2010 14:47:34
42.510947585105896, -71.25246942043304, 06/25/2010 14:48:34
42.498459219932556, -71.23993277549744, 06/25/2010 14:49:34
42.485772371292114, -71.22727274894714, 06/25/2010 14:50:34
42.4749094247818, -71.22723519802094, 06/25/2010 14:51:34
42.46937334537506, -71.24672412872314, 06/25/2010 14:52:34
42.457255125045776, -71.2589979171753, 06/25/2010 14:53:34
42.442819476127625, -71.25755488872528, 06/25/2010 14:54:34
42.427353858947754, -71.2586385011673, 06/25/2010 14:55:34
42.41593301296234, -71.25848293304443, 06/25/2010 14:56:34
42.415600419044495, -71.25859558582306, 06/25/2010 14:57:34
42.41401255130768, -71.25179886817932, 06/25/2010 14:58:34
42.41239249706268, -71.24148309230804, 06/25/2010 14:59:34
42.411008477211, -71.23414993286133, 06/25/2010 15:00:34
42.4109011888504, -71.23372077941895, 06/25/2010 15:01:34
42.40745186805725, -71.22308313846588, 06/25/2010 15:02:34
42.401604652404785, -71.21485412120819, 06/25/2010 15:03:34
42.39674985408783, -71.2093448638916, 06/25/2010 15:04:34
42.392125725746155, -71.20131433010101, 06/25/2010 15:05:34
42.39023745059967, -71.20116949081421, 06/25/2010 15:06:34
42.39155173301697, -71.20083153247833, 06/25/2010 15:07:34
