Latitude, Longitude, Time
42.65490710735321, -71.32623553276062, 06/25/2010 14:23:39
42.655035853385925, -71.32603168487549, 06/25/2010 14:24:39
42.65563666820526, -71.32586002349854, 06/25/2010 14:25:39
42.65616774559021, -71.32478177547455, 06/25/2010 14:26:39
42.65688121318817, -71.32445454597473, 06/25/2010 14:27:39
42.657546401023865, -71.32421314716339, 06/25/2010 14:28:39
42.658061385154724, -71.32417023181915, 06/25/2010 14:29:39
42.65763223171234, -71.3256025314331, 06/25/2010 14:30:39
42.65393078327179, -71.32694900035858, 06/25/2010 14:31:39
42.65264332294464, -71.32543623447418, 06/25/2010 14:32:39
42.65113055706024, -71.32344603538513, 06/25/2010 14:33:39
42.64774024486542, -71.32389664649963, 06/25/2010 14:34:39
42.64411926269531, -71.32063508033752, 06/25/2010 14:35:39
42.64097571372986, -71.31712138652802, 06/25/2010 14:36:39
42.637569308280945, -71.31406903266907, 06/25/2010 14:37:39
42.63517141342163, -71.31184816360474, 06/25/2010 14:38:39
42.62792944908142, -71.319100856781, 06/25/2010 14:39:39
42.613842487335205, -71.32043659687042, 06/25/2010 14:40:39
42.59972333908081, -71.32134854793549, 06/25/2010 14:41:39
42.589160799980164, -71.31327509880066, 06/25/2010 14:42:39
42.574607133865356, -71.30543768405914, 06/25/2010 14:43:39
42.56023585796356, -71.29748225212097, 06/25/2010 14:44:39
42.54723250865936, -71.28719329833984, 06/25/2010 14:45:39
42.533708810806274, -71.27769827842712, 06/25/2010 14:46:39
42.522432804107666, -71.2640780210495, 06/25/2010 14:47:39
42.510443329811096, -71.25202417373657, 06/25/2010 14:48:39
42.49791741371155, -71.23941779136658, 06/25/2010 14:49:39
42.485262751579285, -71.2267792224884, 06/25/2010 14:50:39
42.47481286525726, -71.22795939445496, 06/25/2010 14:51:39
42.46896028518677, -71.24737858772278, 06/25/2010 14:52:39
42.45667040348053, -71.25885307788849, 06/25/2010 14:53:39
42.44222402572632, -71.25786066055298, 06/25/2010 14:54:39
42.42674767971039, -71.25854194164276, 06/25/2010 14:55:39
42.41593837738037, -71.25851511955261, 06/25/2010 14:56:39
42.415568232536316, -71.25834882259369, 06/25/2010 14:57:39
42.41395890712738, -71.25136971473694, 06/25/2010 14:58:39
42.41229057312012, -71.24102175235748, 06/25/2010 14:59:39
42.411078214645386, -71.23411238193512, 06/25/2010 15:00:39
42.410826086997986, -71.23340964317322, 06/25/2010 15:01:39
42.407366037368774, -71.22258424758911, 06/25/2010 15:02:39
42.40129888057709, -71.21465563774109, 06/25/2010 15:03:39
42.39665329456329, -71.20921075344086, 06/25/2010 15:04:39
42.39195942878723, -71.2010246515274, 06/25/2010 15:05:39
42.39032864570618, -71.20110511779785, 06/25/2010 15:06:39
42.39153027534485, -71.20086908340454, 06/25/2010 15:07:39
