time,temperature probe
04/16/2010 09:11:42,18.011399621580326264274061990212072
04/16/2010 09:11:43,18.422940348499474548440065681444992
04/16/2010 09:11:44,18.627826231772751235584843492586491
04/16/2010 09:11:45,18.832123202814049586776859504132231
04/16/2010 09:11:46,18.934051022561059602649006622516556
04/16/2010 09:11:47,19.137465687234817275747508305647841
04/16/2010 09:11:47,19.137465687234817275747508305647841
04/16/2010 09:11:49,19.340292866666666666666666666666667
04/16/2010 09:11:50,19.441486331668747913188647746243740
04/16/2010 09:11:51,19.441486331668747913188647746243740
04/16/2010 09:11:53,19.441486331668747913188647746243740
04/16/2010 09:11:54,19.542533145037859531772575250836120
04/16/2010 09:11:55,19.542533145037859531772575250836120
04/16/2010 09:11:56,19.542533145037859531772575250836120
04/16/2010 09:11:57,19.643433381022881072026800670016750
04/16/2010 09:11:58,19.643433381022881072026800670016750
04/16/2010 09:11:59,19.643433381022881072026800670016750
04/16/2010 09:12:00,19.542533145037859531772575250836120
04/16/2010 09:12:01,19.542533145037859531772575250836120
04/16/2010 09:12:02,19.340292866666666666666666666666667
04/16/2010 09:12:03,19.238952676276905158069883527454243
04/16/2010 09:12:04,19.035831826761757877280265339966833
04/16/2010 09:12:05,18.832123202814049586776859504132231
04/16/2010 09:12:06,18.627826231772751235584843492586491
04/16/2010 09:12:07,18.525456939195789473684210526315789
04/16/2010 09:12:08,18.320276390196721311475409836065574
04/16/2010 09:12:09,18.217464995255351882160392798690671
04/16/2010 09:12:10,18.114506095094379084967320261437908
04/16/2010 09:12:11,18.011399621580326264274061990212072
04/16/2010 09:12:13,18.011399621580326264274061990212072
04/16/2010 09:12:14,17.908145507023583061889250814332248
04/16/2010 09:12:15,17.908145507023583061889250814332248
04/16/2010 09:12:16,17.908145507023583061889250814332248
04/16/2010 09:12:17,17.804743684174796747967479674796748
04/16/2010 09:12:18,17.804743684174796747967479674796748
04/16/2010 09:12:19,17.804743684174796747967479674796748
04/16/2010 09:12:20,17.701194086221298701298701298701299
04/16/2010 09:12:21,17.701194086221298701298701298701299
04/16/2010 09:12:22,17.701194086221298701298701298701299
04/16/2010 09:12:23,17.701194086221298701298701298701299
04/16/2010 09:12:24,17.493651299911715210355987055016181
04/16/2010 09:12:25,17.804743684174796747967479674796748
04/16/2010 09:12:26,17.701194086221298701298701298701299
04/16/2010 09:12:27,17.597496646783565640194489465153971
04/16/2010 09:12:28,17.597496646783565640194489465153971
04/16/2010 09:12:29,17.597496646783565640194489465153971
04/16/2010 09:12:30,17.493651299911715210355987055016181
04/16/2010 09:12:32,17.493651299911715210355987055016181
04/16/2010 09:12:32,17.597496646783565640194489465153971
04/16/2010 09:12:34,17.493651299911715210355987055016181
04/16/2010 09:12:35,17.597496646783565640194489465153971
04/16/2010 09:12:36,17.493651299911715210355987055016181
04/16/2010 09:12:37,17.493651299911715210355987055016181
04/16/2010 09:12:38,17.493651299911715210355987055016181
04/16/2010 09:12:39,17.389657980082035541195476575121163
04/16/2010 09:12:40,17.389657980082035541195476575121163
04/16/2010 09:12:41,17.389657980082035541195476575121163
04/16/2010 09:12:42,17.389657980082035541195476575121163
04/16/2010 09:12:43,17.493651299911715210355987055016181
04/16/2010 09:12:44,17.389657980082035541195476575121163
04/16/2010 09:12:45,17.389657980082035541195476575121163
04/16/2010 09:12:46,17.285516622193548387096774193548387
04/16/2010 09:12:47,17.389657980082035541195476575121163
04/16/2010 09:12:48,17.285516622193548387096774193548387
04/16/2010 09:12:49,17.285516622193548387096774193548387
04/16/2010 09:12:50,17.285516622193548387096774193548387
04/16/2010 09:12:52,17.285516622193548387096774193548387
04/16/2010 09:12:52,17.285516622193548387096774193548387
04/16/2010 09:12:54,17.285516622193548387096774193548387
04/16/2010 09:12:55,17.285516622193548387096774193548387
04/16/2010 09:12:56,17.285516622193548387096774193548387
04/16/2010 09:12:57,17.285516622193548387096774193548387
04/16/2010 09:12:58,17.181227161564605475040257648953301
04/16/2010 09:12:59,17.181227161564605475040257648953301
