temperature,time
25.8,0
25.8,1
25.8,2
25.8,3
25.8,4
25.8,5
25.8,6
25.9,7
26.1,8
26.8,9
27.9,10
28.9,11
29.6,12
30.2,13
30.7,14
31.2,15
31.6,16
31.9,17
32.1,18
32.4,19
32.6,20
32.7,21
32.9,22
33.1,23
33.2,24
33.3,25
33.4,26
33.5,27
33.6,28
33.6,29
33.7,30
33.7,31
33.8,32
33.9,33
33.9,34
34.0,35
34.1,36
34.1,37
34.1,38
34.2,39
34.2,40
34.1,41
34.0,42
33.9,43
33.8,44
33.7,45
33.6,46
33.6,47
33.5,48
33.4,49
33.3,50
33.2,51
33.1,52
33.1,53
32.9,54
32.7,55
32.6,56
32.4,57
32.3,58
32.2,59
32.1,60
31.9,61
31.7,62
31.7,63
31.6,64
31.4,65
31.4,66
31.2,67
31.2,68
31.1,69
31.0,70
30.9,71
30.8,72
30.7,73
30.6,74
30.6,75
30.5,76
30.4,77
30.3,78
30.2,79
30.1,80
30.1,81
30.0,82
30.0,83
29.9,84
29.8,85
29.7,86
29.7,87
