time,temperature
05/11/2010 18:48:34,-18.11
05/11/2010 18:48:36,-18.11
05/11/2010 18:48:37,-18.11
05/11/2010 18:48:38,-18.11
05/11/2010 18:48:39,-18.11
05/11/2010 18:48:40,-18.11
05/11/2010 18:48:41,-18.11
05/11/2010 18:48:42,-18.11
05/11/2010 18:48:43,-18.11
05/11/2010 18:48:44,-18.11
05/11/2010 18:48:45,-17.78
05/11/2010 18:48:46,-18.11
05/11/2010 18:48:47,-18.11
05/11/2010 18:48:48,-18.11
05/11/2010 18:48:50,-17.78
05/11/2010 18:48:51,-18.11
05/11/2010 18:48:52,-18.11
05/11/2010 18:48:53,-18.11
05/11/2010 18:48:54,-17.78
05/11/2010 18:48:55,-17.78
05/11/2010 18:48:56,-18.11
05/11/2010 18:48:57,-18.11
05/11/2010 18:48:58,-17.78
05/11/2010 18:48:59,-18.11
05/11/2010 18:49:00,-18.11
05/11/2010 18:49:01,-17.78
05/11/2010 18:49:02,-17.78
05/11/2010 18:49:03,-18.11
05/11/2010 18:49:04,-17.78
05/11/2010 18:49:06,-17.78
05/11/2010 18:49:07,-17.78
05/11/2010 18:49:08,-17.78
05/11/2010 18:49:09,-17.78
05/11/2010 18:49:10,-17.78
05/11/2010 18:49:11,-18.11
05/11/2010 18:49:12,-17.78
05/11/2010 18:49:13,-17.78
05/11/2010 18:49:14,-17.78
05/11/2010 18:49:15,-17.78
05/11/2010 18:49:16,-17.78
05/11/2010 18:49:17,-17.78
05/11/2010 18:49:18,-18.11
05/11/2010 18:49:19,-17.78
05/11/2010 18:49:21,-17.78
05/11/2010 18:49:22,-17.78
05/11/2010 18:49:23,-18.11
05/11/2010 18:49:24,-17.78
05/11/2010 18:49:25,-17.78
05/11/2010 18:49:26,-18.11
05/11/2010 18:49:27,-17.78
05/11/2010 18:49:28,-18.11
05/11/2010 18:49:29,-18.11
05/11/2010 18:49:30,-17.78
05/11/2010 18:49:31,-18.11
05/11/2010 18:49:32,-18.11
05/11/2010 18:49:33,-18.11
05/11/2010 18:49:34,-18.11
05/11/2010 18:49:36,-17.78
05/11/2010 18:49:37,-18.11
05/11/2010 18:49:38,-17.78
05/11/2010 18:49:39,-18.11
05/11/2010 18:49:40,-17.78
05/11/2010 18:49:41,-17.78
05/11/2010 18:49:42,-18.11
05/11/2010 18:49:43,-17.78
05/11/2010 18:49:44,-18.11
05/11/2010 18:49:45,-18.11
05/11/2010 18:49:46,-18.11
05/11/2010 18:49:47,-18.11
05/11/2010 18:49:48,-18.11
05/11/2010 18:49:50,-18.11
05/11/2010 18:49:51,-17.78
05/11/2010 18:49:52,-17.78
05/11/2010 18:49:53,-18.11
05/11/2010 18:49:54,-18.11
05/11/2010 18:49:55,-18.11
05/11/2010 18:49:56,-17.78
05/11/2010 18:49:57,-18.11
05/11/2010 18:49:58,-18.11
05/11/2010 18:49:59,-18.11
05/11/2010 18:50:00,-18.11
05/11/2010 18:50:01,-18.11
05/11/2010 18:50:02,-18.11
05/11/2010 18:50:03,-18.11
05/11/2010 18:50:05,-18.11
05/11/2010 18:50:06,-18.11
05/11/2010 18:50:07,-18.11
05/11/2010 18:50:08,-18.11
05/11/2010 18:50:09,-18.11
05/11/2010 18:50:10,-18.11
05/11/2010 18:50:11,-18.11
05/11/2010 18:50:12,-18.11
05/11/2010 18:50:13,-18.11
05/11/2010 18:50:14,-18.11
05/11/2010 18:50:15,-18.11
05/11/2010 18:50:16,-18.11
05/11/2010 18:50:17,-18.11
05/11/2010 18:50:18,-18.11
05/11/2010 18:50:20,-18.11
05/11/2010 18:50:21,-18.11
05/11/2010 18:50:22,-18.11
05/11/2010 18:50:23,-18.11
05/11/2010 18:50:24,-18.11
05/11/2010 18:50:25,-18.11
05/11/2010 18:50:26,-18.11
05/11/2010 18:50:27,-18.11
05/11/2010 18:50:28,-18.11
05/11/2010 18:50:29,-18.11
05/11/2010 18:50:30,-18.11
05/11/2010 18:50:31,-18.11
05/11/2010 18:50:32,-18.11
05/11/2010 18:50:33,-18.11
05/11/2010 18:50:35,-18.11
05/11/2010 18:50:36,-18.11
05/11/2010 18:50:37,-18.11
05/11/2010 18:50:38,-18.11
05/11/2010 18:50:39,-18.11
05/11/2010 18:50:40,-18.11
05/11/2010 18:50:41,-18.11
05/11/2010 18:50:42,-18.11
05/11/2010 18:50:43,-18.11
05/11/2010 18:50:44,-18.11
05/11/2010 18:50:45,-18.11
05/11/2010 18:50:45,-18.11
05/11/2010 18:50:47,-18.11
05/11/2010 18:50:48,-18.11
05/11/2010 18:50:50,-18.11
05/11/2010 18:50:51,-18.11
05/11/2010 18:50:52,-18.11
05/11/2010 18:50:53,-18.11
05/11/2010 18:50:54,-18.11
05/11/2010 18:50:55,-18.11
05/11/2010 18:50:56,-18.11
05/11/2010 18:50:57,-18.11
05/11/2010 18:50:58,-18.11
05/11/2010 18:50:59,-18.11
05/11/2010 18:51:00,-18.11
05/11/2010 18:51:01,-18.11
05/11/2010 18:51:02,-18.11
05/11/2010 18:51:03,-18.11
05/11/2010 18:51:05,-18.11
05/11/2010 18:51:06,-18.11
05/11/2010 18:51:07,-18.11
05/11/2010 18:51:08,-18.11
05/11/2010 18:51:09,-18.11
05/11/2010 18:51:10,-18.11
05/11/2010 18:51:11,-18.11
05/11/2010 18:51:12,-18.11
05/11/2010 18:51:13,-18.11
05/11/2010 18:51:14,-18.11
05/11/2010 18:51:15,-18.11
05/11/2010 18:51:16,-18.11
05/11/2010 18:51:17,-18.11
05/11/2010 18:51:18,-18.11
05/11/2010 18:51:19,-18.11
05/11/2010 18:51:21,-18.11
05/11/2010 18:51:22,-18.11
05/11/2010 18:51:23,-18.11
05/11/2010 18:51:24,-18.11
05/11/2010 18:51:25,-18.11
05/11/2010 18:51:26,-18.11
05/11/2010 18:51:27,-18.11
05/11/2010 18:51:28,-18.11
05/11/2010 18:51:29,-18.11
05/11/2010 18:51:30,-18.11
05/11/2010 18:51:31,-18.11
05/11/2010 18:51:32,-18.11
05/11/2010 18:51:33,-18.11
05/11/2010 18:51:34,-18.11
05/11/2010 18:51:36,-18.11
05/11/2010 18:51:37,-18.11
05/11/2010 18:51:38,-18.11
05/11/2010 18:51:39,-18.11
05/11/2010 18:51:40,-18.11
05/11/2010 18:51:41,-18.11
05/11/2010 18:51:42,-18.11
05/11/2010 18:51:43,-18.11
05/11/2010 18:51:44,-18.11
05/11/2010 18:51:45,-18.11
05/11/2010 18:51:46,-18.11
05/11/2010 18:51:47,-18.11
05/11/2010 18:51:48,-18.11
05/11/2010 18:51:49,-18.11
05/11/2010 18:51:51,-18.11
05/11/2010 18:51:52,-18.43
05/11/2010 18:51:53,-18.43
05/11/2010 18:51:54,-18.11
05/11/2010 18:51:55,-18.43
05/11/2010 18:51:56,-18.11
05/11/2010 18:51:57,-18.11
05/11/2010 18:51:58,-18.11
05/11/2010 18:51:59,-18.11
05/11/2010 18:52:00,-18.11
05/11/2010 18:52:01,-18.11
05/11/2010 18:52:01,-18.43
05/11/2010 18:52:03,-18.11
05/11/2010 18:52:04,-18.11
05/11/2010 18:52:06,-18.43
05/11/2010 18:52:07,-18.43
05/11/2010 18:52:08,-18.43
05/11/2010 18:52:09,-18.43
05/11/2010 18:52:10,-18.43
05/11/2010 18:52:11,-18.11
05/11/2010 18:52:12,-18.43
05/11/2010 18:52:13,-18.11
05/11/2010 18:52:14,-18.43
05/11/2010 18:52:15,-18.43
05/11/2010 18:52:16,-18.43
05/11/2010 18:52:17,-18.43
05/11/2010 18:52:18,-18.43
05/11/2010 18:52:19,-18.43
05/11/2010 18:52:21,-18.43
05/11/2010 18:52:22,-18.43
05/11/2010 18:52:23,-18.43
05/11/2010 18:52:24,-18.43
05/11/2010 18:52:25,-18.43
05/11/2010 18:52:26,-18.43
05/11/2010 18:52:27,-18.43
05/11/2010 18:52:28,-18.43
05/11/2010 18:52:29,-18.43
05/11/2010 18:52:30,-18.43
05/11/2010 18:52:31,-18.43
05/11/2010 18:52:32,-18.43
05/11/2010 18:52:33,-18.43
05/11/2010 18:52:34,-18.43
05/11/2010 18:52:36,-18.43
05/11/2010 18:52:37,-18.43
05/11/2010 18:52:38,-18.43
05/11/2010 18:52:39,-18.43
05/11/2010 18:52:40,-18.43
05/11/2010 18:52:41,-18.43
05/11/2010 18:52:42,-18.43
05/11/2010 18:52:43,-18.43
05/11/2010 18:52:44,-18.43
05/11/2010 18:52:45,-18.43
05/11/2010 18:52:46,-18.43
05/11/2010 18:52:46,-18.43
05/11/2010 18:52:48,-18.43
05/11/2010 18:52:49,-18.43
05/11/2010 18:52:51,-18.43
05/11/2010 18:52:52,-18.43
05/11/2010 18:52:53,-18.43
05/11/2010 18:52:54,-18.43
05/11/2010 18:52:55,-18.43
05/11/2010 18:52:56,-18.43
05/11/2010 18:52:57,-18.43
05/11/2010 18:52:58,-18.43
05/11/2010 18:52:59,-18.43
05/11/2010 18:53:00,-18.43
05/11/2010 18:53:01,-18.43
05/11/2010 18:53:02,-18.43
05/11/2010 18:53:03,-18.43
05/11/2010 18:53:04,-18.43
05/11/2010 18:53:06,-18.43
05/11/2010 18:53:07,-18.43
05/11/2010 18:53:08,-18.43
05/11/2010 18:53:09,-18.43
05/11/2010 18:53:10,-18.43
05/11/2010 18:53:11,-18.43
05/11/2010 18:53:12,-18.43
05/11/2010 18:53:13,-18.43
05/11/2010 18:53:14,-18.43
05/11/2010 18:53:15,-18.43
05/11/2010 18:53:16,-18.43
05/11/2010 18:53:17,-18.43
05/11/2010 18:53:18,-18.43
05/11/2010 18:53:19,-18.43
05/11/2010 18:53:21,-18.43
05/11/2010 18:53:22,-18.43
05/11/2010 18:53:23,-18.43
05/11/2010 18:53:24,-18.43
05/11/2010 18:53:25,-18.43
05/11/2010 18:53:26,-18.43
05/11/2010 18:53:27,-18.43
05/11/2010 18:53:28,-18.43
05/11/2010 18:53:29,-18.43
05/11/2010 18:53:30,-18.43
05/11/2010 18:53:31,-18.43
05/11/2010 18:53:32,-18.43
05/11/2010 18:53:33,-18.43
05/11/2010 18:53:34,-18.43
05/11/2010 18:53:36,-18.43
05/11/2010 18:53:37,-18.43
05/11/2010 18:53:38,-18.43
05/11/2010 18:53:39,-18.43
05/11/2010 18:53:40,-18.43
05/11/2010 18:53:41,-18.43
05/11/2010 18:53:42,-18.43
05/11/2010 18:53:43,-18.43
05/11/2010 18:53:44,-18.43
05/11/2010 18:53:45,-18.43
05/11/2010 18:53:46,-18.43
05/11/2010 18:53:47,-18.43
05/11/2010 18:53:48,-18.43
05/11/2010 18:53:49,-18.43
05/11/2010 18:53:51,-18.43
05/11/2010 18:53:52,-18.43
