time,temperature
0,24.2
0.5,24.2
1,24.2
1.5,24.2
2,23.8
2.5,22.7
3,21.4
3.5,20.2
4,19.1
4.5,18.3
5,17.7
5.5,17.2
6,16.9
6.5,16.7
7,16.5
7.5,16.4
8,16.3
8.5,16.2
9,16.1
9.5,16.0
10,15.9
10.5,15.8
11,15.8
11.5,15.8
12,15.9
12.5,15.8
13,15.9
13.5,15.9
14,16.0
14.5,16.0
15,16.0
15.5,16.1
16,16.1
16.5,16.1
17,16.1
17.5,16.2
18,16.2
18.5,16.2
19,16.2
19.5,16.2
20,16.0
20.5,15.7
21,15.4
21.5,15.3
22,15.1
22.5,15.0
23,15.0
23.5,14.9
24,14.8
24.5,14.8
25,14.8
25.5,14.7
26,14.7
26.5,14.6
27,14.6
27.5,14.5
28,14.5
28.5,14.6
29,14.5
29.5,14.5
30,14.5
30.5,14.4
31,14.4
31.5,14.4
32,14.4
32.5,14.4
33,14.4
33.5,14.4
34,14.4
34.5,14.4
35,14.3
35.5,14.3
36,14.3
36.5,14.3
37,14.3
37.5,14.3
38,14.3
38.5,14.3
39,14.3
39.5,14.3
40,14.3
40.5,14.3
41,14.3
41.5,14.3
42,14.3
42.5,14.3
43,14.3
43.5,14.3
44,14.3
44.5,14.3
45,14.3
45.5,14.4
46,14.3
46.5,14.3
47,14.3
47.5,14.3
48,14.3
48.5,14.3
49,14.3
49.5,14.3
50,14.3
50.5,14.3
51,14.4
51.5,14.3
52,14.3
52.5,14.3
53,14.3
53.5,14.3
54,14.3
54.5,14.3
55,14.3
55.5,14.3
56,14.4
56.5,14.4
57,14.4
57.5,14.3
58,14.3
58.5,14.3
59,14.3
59.5,14.3
60,14.3
60.5,14.3
61,14.3
61.5,14.3
62,14.4
62.5,14.4
63,14.4
63.5,14.4
64,14.4
64.5,14.4
65,14.5
65.5,14.4
66,14.4
66.5,14.4
67,14.4
67.5,14.4
68,14.5
68.5,14.4
69,14.4
