time,latitude,longitude,light,acceleration,altitude,pedometer
04/08/2010 10:27:15,42.78731,-71.107155,14.65,1.02,69,0
04/08/2010 10:27:16,42.78731,-71.107155,14.65,0.98,68,0
04/08/2010 10:27:17,,,10.47,1.02, ,0
04/08/2010 10:27:19,42.78731,-71.107155,10.47,1.02,68,0
04/08/2010 10:27:20,42.787296,-71.107155,12.56,0.98,69,0
04/08/2010 10:27:21,42.78731,-71.10714,8.38,0.98,67,0
04/08/2010 10:27:22,42.78731,-71.10711,6.29,0.98,65,0
04/08/2010 10:27:23,42.78731,-71.10711,8.38,0.98,65,0
04/08/2010 10:27:25,42.78731,-71.10711,12.56,0.98,64,0
04/08/2010 10:27:26,42.78731,-71.10709,18.82,0.98,63,0
04/08/2010 10:27:27,42.78734,-71.10709,14.65,0.98,62,0
04/08/2010 10:27:28,42.78734,-71.10709,20.90,0.98,61,0
04/08/2010 10:27:29,42.78734,-71.10709,27.13,1.02,60,0
04/08/2010 10:27:31,42.78734,-71.10708,18.82,0.98,59,0
04/08/2010 10:27:32,42.78734,-71.10708,12.56,1.02,59,0
04/08/2010 10:27:33,42.78734,-71.10708,14.65,1.02,59,0
04/08/2010 10:27:34,42.78734,-71.10708,22.98,1.02,58,0
04/08/2010 10:27:35,42.78734,-71.10708,27.13,0.98,58,0
04/08/2010 10:27:37,42.78734,-71.10708,25.06,0.98,58,0
04/08/2010 10:27:38,42.78734,-71.10708,18.82,1.02,58,0
04/08/2010 10:27:39,42.78734,-71.10708,18.82,0.98,58,0
04/08/2010 10:27:40,42.78734,-71.10709,16.73,1.02,60,0
04/08/2010 10:27:41,42.78734,-71.10709,18.82,0.98,60,0
04/08/2010 10:27:43,42.78734,-71.10709,20.90,1.02,60,0
04/08/2010 10:27:44,42.78734,-71.10709,18.82,0.98,61,0
04/08/2010 10:27:45,42.78734,-71.10709,16.73,1.02,61,0
04/08/2010 10:27:46,42.78734,-71.10709,18.82,1.02,61,0
04/08/2010 10:27:47,42.78734,-71.10709,12.56,1.02,60,0
04/08/2010 10:27:49,42.78734,-71.10709,12.56,1.02,60,0
04/08/2010 10:27:50,42.78734,-71.10709,12.56,0.98,60,0
04/08/2010 10:27:51,42.78734,-71.10709,14.65,1.02,60,0
04/08/2010 10:27:52,42.78734,-71.10711,16.73,0.98,60,0
04/08/2010 10:27:53,42.78731,-71.10711,14.65,1.02,61,0
04/08/2010 10:27:55,42.78731,-71.10711,14.65,0.98,61,0
04/08/2010 10:27:56,42.78731,-71.10709,14.65,0.98,61,0
04/08/2010 10:27:57,42.78731,-71.10709,12.56,1.02,61,0
04/08/2010 10:27:58,42.78731,-71.10709,16.73,0.98,61,0
04/08/2010 10:27:59,42.78731,-71.10709,16.73,0.98,61,0
04/08/2010 10:28:01,42.78731,-71.10709,25.06,1.02,61,0
04/08/2010 10:28:02,42.78731,-71.10709,27.13,1.02,60,0
04/08/2010 10:28:03,42.78731,-71.10709,27.13,0.98,60,0
04/08/2010 10:28:04,42.78731,-71.10709,27.13,1.02,59,0
04/08/2010 10:28:05,42.78731,-71.10709,22.98,1.02,59,0
04/08/2010 10:28:07,42.78731,-71.10711,25.06,0.98,58,0
04/08/2010 10:28:08,42.78731,-71.10711,29.21,1.02,58,0
04/08/2010 10:28:09,42.78731,-71.10711,29.21,0.98,59,0
04/08/2010 10:28:10,42.78731,-71.10711,29.21,0.98,59,0
04/08/2010 10:28:11,42.78731,-71.10711,25.06,1.02,59,0
04/08/2010 10:28:13,42.78731,-71.10709,16.73,1.02,58,0
04/08/2010 10:28:14,42.78731,-71.10709,16.73,1.02,59,0
04/08/2010 10:28:15,42.78731,-71.10711,27.13,0.98,59,0
04/08/2010 10:28:16,42.78731,-71.10711,27.13,1.02,60,0
04/08/2010 10:28:17,42.78731,-71.10711,20.90,0.98,60,0
04/08/2010 10:28:19,42.78731,-71.10711,22.98,0.98,60,0
04/08/2010 10:28:20,42.78731,-71.10711,22.98,1.02,60,0
04/08/2010 10:28:21,42.78731,-71.10711,25.06,1.02,60,0
04/08/2010 10:28:22,42.78731,-71.10711,20.90,1.02,60,0
04/08/2010 10:28:23,42.78731,-71.10711,14.65,0.98,60,0
04/08/2010 10:28:25,42.78734,-71.10709,14.65,0.98,60,0
04/08/2010 10:28:26,42.78734,-71.10709,14.65,1.02,59,0
04/08/2010 10:28:27,42.78734,-71.10709,20.90,0.98,58,0
04/08/2010 10:28:28,42.78734,-71.10709,29.21,1.02,56,0
04/08/2010 10:28:29,42.78731,-71.10709,29.21,1.02,56,0
04/08/2010 10:28:31,42.78731,-71.10709,29.21,0.98,55,0
04/08/2010 10:28:32,42.78734,-71.10709,29.21,1.02,54,0
04/08/2010 10:28:33,42.78734,-71.10709,29.21,1.02,54,0
04/08/2010 10:28:34,42.78734,-71.10709,29.21,1.02,53,0
04/08/2010 10:28:35,42.78734,-71.10709,27.13,0.98,52,0
04/08/2010 10:28:37,42.78734,-71.10709,27.13,0.98,52,0
04/08/2010 10:28:38,42.78734,-71.10709,25.06,1.02,52,0
04/08/2010 10:28:39,42.78734,-71.10709,27.13,0.98,52,0
04/08/2010 10:28:40,42.78734,-71.10709,27.13,1.02,52,0
04/08/2010 10:28:41,42.78734,-71.10709,25.06,0.98,52,0
04/08/2010 10:28:43,42.78734,-71.10709,14.65,1.02,53,0
