time,latitude,longitude,light,external,altitude,pedometer
"Jul 27 2009 19:00:16",36.2925,-109.216034,705.21,31.3683,2162,0
"Jul 27 2009 19:00:18",36.2925,-109.216034,721.48,31.48075,2163,0
"Jul 27 2009 19:00:19",36.2925,-109.21605,736.16,31.48075,2162,1
"Jul 27 2009 19:00:21",36.2925,-109.216034,716.08,31.70565,2162,1
"Jul 27 2009 19:00:22",36.29252,-109.216034,713.37,31.5932,2161,2
"Jul 27 2009 19:00:24",36.29252,-109.21605,709.30,31.5932,2162,2
"Jul 27 2009 19:00:25",36.292534,-109.21605,703.84,31.70565,2160,1
"Jul 27 2009 19:00:27",36.29255,-109.21605,714.73,31.8181,2159,2
"Jul 27 2009 19:00:28",36.292583,-109.216064,695.60,31.93055,2162,2
"Jul 27 2009 19:00:29",36.292583,-109.21608,718.78,32.0430,2161,2
"Jul 27 2009 19:00:30",36.2926,-109.21611,698.35,32.0430,2160,4
"Jul 27 2009 19:00:32",36.2926,-109.21613,698.35,32.0430,2160,8
"Jul 27 2009 19:00:33",36.292637,-109.216194,698.35,32.0430,2160,4
"Jul 27 2009 19:00:35",36.292652,-109.216225,699.73,32.0430,2160,2
"Jul 27 2009 19:00:36",36.292652,-109.216225,699.73,32.0430,2160,4
"Jul 27 2009 19:00:38",36.2926,-109.216354,701.10,32.15545,2160,5
"Jul 27 2009 19:00:39",36.292637,-109.21645,701.10,32.0430,2160,5
"Jul 27 2009 19:00:41",36.292652,-109.21651,699.73,32.0430,2161,5
"Jul 27 2009 19:00:42",36.292683,-109.21657,698.35,32.0430,2159,3
"Jul 27 2009 19:00:43",36.292683,-109.2166,701.10,32.15545,2158,2
"Jul 27 2009 19:00:44",36.292717,-109.21833,696.98,32.15545,2161,5
"Jul 27 2009 19:00:46",36.292732,-109.22334,703.84,32.2679,2160,5
"Jul 27 2009 19:00:47",36.292747,-109.229996,695.60,32.2679,2160,3
"Jul 27 2009 19:00:49",36.29278,-109.21833,705.21,32.2679,2161,3
"Jul 27 2009 19:00:50",36.2928,-109.218666,698.35,32.38035,2160,3
"Jul 27 2009 19:00:52",36.2928,-109.21917,694.22,32.4928,2161,4
"Jul 27 2009 19:00:53",36.292835,-109.22,692.84,32.4928,2160,3
"Jul 27 2009 19:00:55",36.292835,-109.220505,694.22,32.4928,2159,3
"Jul 27 2009 19:00:56",36.292866,-109.22134,696.98,32.4928,2162,4
"Jul 27 2009 19:00:57",36.292885,-109.221664,696.98,32.60525,2162,3
"Jul 27 2009 19:00:58",36.292915,-109.22267,696.98,32.4928,2161,3
"Jul 27 2009 19:00:00",36.292915,-109.22316,696.98,32.4928,2162,3
"Jul 27 2009 19:00:01",36.29293,-109.22383,695.60,32.4928,2163,4
"Jul 27 2009 19:00:03",36.29295,-109.22417,703.84,32.4928,2163,3
"Jul 27 2009 19:00:04",36.29295,-109.224495,712.02,32.38035,2162,5
"Jul 27 2009 19:00:06",36.292965,-109.225,692.84,32.38035,2161,5
"Jul 27 2009 19:00:07",36.293003,-109.22583,695.60,32.38035,2162,4
"Jul 27 2009 19:00:09",36.293034,-109.22633,694.22,32.38035,2162,3
"Jul 27 2009 19:00:10",36.293083,-109.22684,844.62,32.38035,2161,3
"Jul 27 2009 19:00:11",36.293114,-109.227005,687.29,32.2679,2159,3
"Jul 27 2009 19:00:13",36.293167,-109.22751,688.68,32.2679,2158,6
"Jul 27 2009 19:00:14",36.293186,-109.22783,684.51,32.2679,2159,4
"Jul 27 2009 19:00:15",36.293186,-109.22866,690.07,32.2679,2158,4
"Jul 27 2009 19:00:17",36.293217,-109.229004,699.73,32.2679,2158,5
"Jul 27 2009 19:00:18",36.29325,-109.229164,703.84,32.2679,2158,4
"Jul 27 2009 19:00:20",36.29332,-109.22949,701.10,32.2679,2158,2
"Jul 27 2009 19:00:21",36.293335,-109.22967,707.94,32.2679,2157,4
"Jul 27 2009 19:00:23",36.29335,-109.22949,699.73,32.2679,2157,4
"Jul 27 2009 19:00:24",36.293415,-109.229164,716.08,32.2679,2156,3
"Jul 27 2009 19:00:26",36.293415,-109.229164,698.35,32.2679,2156,4
"Jul 27 2009 19:00:27",36.293533,-109.22884,691.45,32.2679,2155,4
"Jul 27 2009 19:00:28",36.293568,-109.22866,695.60,32.2679,2154,3
"Jul 27 2009 19:00:29",36.2936,-109.2285,677.52,32.2679,2154,3
"Jul 27 2009 19:00:31",36.293648,-109.228,685.90,32.2679,2153,3
"Jul 27 2009 19:00:32",36.293667,-109.227005,521.94,32.15545,2156,3
"Jul 27 2009 19:00:34",36.293686,-109.226494,556.47,32.0430,2157,3
"Jul 27 2009 19:00:35",36.293716,-109.22599,542.45,31.93055,2154,2
"Jul 27 2009 19:00:37",36.293716,-109.22567,680.32,31.93055,2153,2
"Jul 27 2009 19:00:38",36.2937,-109.225,702.47,32.0430,2153,3
"Jul 27 2009 19:00:40",36.2937,-109.22468,770.00,32.0430,2153,4
"Jul 27 2009 19:00:41",36.2937,-109.22401,814.85,32.0430,2153,4
"Jul 27 2009 19:00:42",36.2937,-109.2235,666.24,32.0430,2152,4
"Jul 27 2009 19:00:43",36.2937,-109.22267,842.28,32.0430,2155,4
"Jul 27 2009 19:00:45",36.2937,-109.22233,776.37,32.0430,2155,3
"Jul 27 2009 19:00:46",36.293716,-109.221504,778.90,32.0430,2156,4
"Jul 27 2009 19:00:48",36.293736,-109.22099,681.72,32.15545,2156,4
"Jul 27 2009 19:00:49",36.293716,-109.220505,641.90,32.15545,2159,3
"Jul 27 2009 19:00:51",36.293716,-109.22017,683.12,32.15545,2159,2
"Jul 27 2009 19:00:52",36.293716,-109.21934,792.72,32.0430,2158,2
"Jul 27 2009 19:00:54",36.2937,-109.218994,842.28,32.0430,2159,3
"Jul 27 2009 19:00:55",36.293716,-109.231674,831.66,32.0430,2157,4
"Jul 27 2009 19:00:56",36.293716,-109.22834,615.55,32.0430,2158,3
"Jul 27 2009 19:00:57",36.293716,-109.221664,718.78,32.2679,2156,3
"Jul 27 2009 19:00:59",36.293716,-109.22,707.94,32.4928,2157,2
"Jul 27 2009 19:00:00",36.293716,-109.22,855.07,32.60525,2157,2
