Time,Latitude,Longitude,Accel,Light,Temp,Sound,External,Pedometer,Altitude
Dec 27 2009 24:08:34,36.287556,-109.22191,1.68,0.00,8.64,0,16.86225,0,2153
Dec 27 2009 24:08:35,36.287556,-109.221825,0.78,0.00,8.64,0,16.7498,2,2154
Dec 27 2009 24:08:36,36.287556,-109.221794,1.72,0.00,8.64,0,16.7498,0,2154
Dec 27 2009 24:08:37,36.287518,-109.221794,0.66,0.00,8.64,0,16.7498,4,2154
Dec 27 2009 24:08:39,36.28747,-109.22175,1.33,0.00,8.64,0,16.63735,3,2154
Dec 27 2009 24:08:40,36.28743,-109.22175,1.29,0.00,8.64,0,16.63735,1,2155
Dec 27 2009 24:08:42,36.287388,-109.221794,0.82,0.00,8.32,0,16.63735,0,2154
Dec 27 2009 24:08:43,36.287346,-109.221794,1.64,0.00,8.32,1,16.63735,0,2154
Dec 27 2009 24:08:45,36.2873,-109.221794,1.02,0.00,8.32,0,16.5249,0,2155
Dec 27 2009 24:08:46,36.287216,-109.221825,0.98,0.00,8.32,0,16.5249,0,2155
Dec 27 2009 24:08:48,36.287174,-109.22188,0.86,2.10,8.32,0,16.5249,1,2155
Dec 27 2009 24:08:49,36.28713,-109.221825,1.41,0.00,8.32,0,16.5249,3,2155
Dec 27 2009 24:08:50,36.28713,-109.221695,0.86,0.00,8.32,0,16.41245,2,2155
Dec 27 2009 24:08:52,36.28713,-109.22161,1.80,0.00,8.32,0,16.41245,2,2155
Dec 27 2009 24:08:53,36.28709,-109.22161,0.70,27.13,8.32,0,16.41245,3,2155
Dec 27 2009 24:08:54,36.28709,-109.221565,0.98,0.00,8.00,0,16.5249,1,2155
Dec 27 2009 24:08:56,36.28709,-109.22161,1.02,4.19,8.32,0,16.63735,2,2155
Dec 27 2009 24:08:57,36.28713,-109.22161,0.86,39.56,8.00,0,16.63735,4,2154
Dec 27 2009 24:08:59,36.28709,-109.22161,0.82,33.35,8.32,0,16.7498,1,2156
Dec 27 2009 24:08:00,36.287045,-109.221535,0.94,0.00,8.32,0,16.86225,0,2155
Dec 27 2009 24:08:02,36.287045,-109.22148,1.29,0.00,8.32,0,17.1996,4,2155
Dec 27 2009 24:08:03,36.287045,-109.221405,0.78,0.00,8.32,0,17.53695,1,2154
Dec 27 2009 24:08:05,36.28709,-109.221405,1.72,0.00,8.32,0,17.76185,0,2154
Dec 27 2009 24:08:06,36.28709,-109.22135,0.86,0.00,8.32,0,17.98675,0,2156
Dec 27 2009 24:08:07,36.287045,-109.22132,1.17,0.00,8.32,0,18.21165,1,2156
Dec 27 2009 24:08:08,36.287045,-109.22132,1.52,0.00,8.64,0,18.5490,2,2156
Dec 27 2009 24:08:10,36.287003,-109.22135,1.02,0.00,8.32,0,18.7739,0,2157
Dec 27 2009 24:08:11,36.28696,-109.22135,1.56,0.00,8.32,0,18.9988,0,2158
Dec 27 2009 24:08:13,36.28692,-109.221405,0.82,0.00,8.32,0,19.33615,0,2159
Dec 27 2009 24:08:14,36.28692,-109.221405,1.29,0.00,8.32,0,19.4486,0,2158
Dec 27 2009 24:08:16,36.28692,-109.221405,0.78,0.00,8.64,0,19.6735,2,2158
Dec 27 2009 24:08:17,36.286873,-109.22145,0.98,0.00,8.32,0,19.78595,0,2159
Dec 27 2009 24:08:19,36.286873,-109.22145,1.02,0.00,8.32,0,19.8984,1,2159
