time,latitude,longitude,light,external,altitude,pedometer
"Jul 27 2009 18:56:54",,,701.10,475,60000,0
"Jul 27 2009 18:56:55",,,729.51,474,60000,0
"Jul 27 2009 18:56:57",,,705.21,473,60000,0
"Jul 27 2009 18:56:58",36.2926,-109.21626,722.82,473,2124,0
"Jul 27 2009 19:00:00",36.292583,-109.21613,730.85,471,2153,0
"Jul 27 2009 19:00:01",36.2926,-109.21613,729.51,470,2164,0
"Jul 27 2009 19:00:02",36.292637,-109.216095,729.51,469,2178,0
"Jul 27 2009 19:00:04",36.292637,-109.216064,721.48,469,2182,0
"Jul 27 2009 19:00:05",36.2926,-109.216034,713.37,468,2191,0
"Jul 27 2009 19:00:07",36.292583,-109.216034,714.73,467,2190,0
"Jul 27 2009 19:00:08",36.292564,-109.216034,721.48,466,2187,0
"Jul 27 2009 19:00:10",36.292534,-109.215996,729.51,465,2188,0
"Jul 27 2009 19:00:11",36.29252,-109.215965,729.51,465,2186,0
"Jul 27 2009 19:00:13",36.2925,-109.21595,712.02,464,2183,0
"Jul 27 2009 19:00:14",36.292534,-109.215965,721.48,463,2182,0
"Jul 27 2009 19:00:15",36.29255,-109.21598,720.13,461,2183,0
"Jul 27 2009 19:00:16",36.292583,-109.215996,714.73,459,2177,0
"Jul 27 2009 19:00:18",36.2926,-109.21598,713.37,458,2176,0
"Jul 27 2009 19:00:19",36.292614,-109.21598,716.08,459,2176,0
"Jul 27 2009 19:00:44",,,716.08,458,60000,0
"Jul 27 2009 19:00:45",,,720.13,457,60000,0
"Jul 27 2009 19:00:47",,,726.84,457,60000,0
"Jul 27 2009 19:00:48",,,730.85,457,60000,0
"Jul 27 2009 19:00:50",,,726.84,459,60000,0
"Jul 27 2009 19:00:51",36.292835,-109.216194,709.30,459,2170,0
"Jul 27 2009 19:00:53",36.292915,-109.21634,714.73,460,2150,1
"Jul 27 2009 19:00:54",36.29295,-109.21638,712.02,459,2142,0
"Jul 27 2009 19:00:56",36.29302,-109.21638,709.30,460,2138,0
"Jul 27 2009 19:00:57",36.293003,-109.21631,713.37,461,2146,0
"Jul 27 2009 19:00:59",36.292965,-109.21629,714.73,461,2144,0
"Jul 27 2009 19:00:00",36.29293,-109.21631,710.66,461,2141,0
"Jul 27 2009 19:00:01",36.29293,-109.21631,728.18,461,2138,0
"Jul 27 2009 19:00:02",36.292885,-109.21628,718.78,462,2144,1
"Jul 27 2009 19:00:04",36.292866,-109.21624,710.66,462,2141,0
"Jul 27 2009 19:00:05",36.292866,-109.21628,721.48,463,2138,0
"Jul 27 2009 19:00:07",36.292866,-109.21631,714.73,463,2132,0
"Jul 27 2009 19:00:08",36.29295,-109.21641,713.37,463,2130,0
"Jul 27 2009 19:00:10",36.292965,-109.21641,712.02,463,2132,0
"Jul 27 2009 19:00:11",36.292965,-109.21641,720.13,462,2133,0
"Jul 27 2009 19:00:13",36.292965,-109.21641,714.73,462,2135,0
"Jul 27 2009 19:00:14",36.293003,-109.21641,733.51,462,2136,0
"Jul 27 2009 19:00:16",36.29302,-109.21644,733.51,461,2136,0
"Jul 27 2009 19:00:17",36.29305,-109.21644,717.43,460,2137,0
"Jul 27 2009 19:00:18",36.293083,-109.21647,706.57,459,2136,0
"Jul 27 2009 19:00:19",36.2931,-109.21651,706.57,458,2136,0
"Jul 27 2009 19:00:21",36.293083,-109.21651,705.21,458,2137,0
"Jul 27 2009 19:00:22",36.293083,-109.21651,705.21,459,2136,0
"Jul 27 2009 19:00:24",36.293114,-109.21639,705.21,458,2136,0
"Jul 27 2009 19:00:25",36.293167,-109.21642,706.57,458,2136,0
"Jul 27 2009 19:00:27",36.293133,-109.21639,706.57,459,2137,0
"Jul 27 2009 19:00:28",36.293133,-109.21644,703.84,460,2131,0
"Jul 27 2009 19:00:30",36.293114,-109.21645,705.21,461,2132,0
"Jul 27 2009 19:00:31",36.293068,-109.21644,706.57,460,2133,0
"Jul 27 2009 19:00:32",36.293083,-109.21642,705.21,460,2138,0
"Jul 27 2009 19:00:33",36.2931,-109.21647,705.21,460,2142,0
