time,latitude,longitude,acceleration,light,temperature,sound,"cricket temperature probe"
"10/15/2009 14:44:08",42.905598,-71.073395,1.13,0.00,-16.17,0,27.43255
"10/15/2009 14:44:09",42.905632,-71.07325,1.17,0.00,-16.17,0,27.5450
"10/15/2009 14:44:10",42.905663,-71.073135,1.13,0.00,-16.17,0,27.5450
"10/15/2009 14:44:11",42.905754,-71.073,1.13,0.00,-16.17,0,27.5450
"10/15/2009 14:44:13",42.905834,-71.07287,1.13,0.00,-16.17,0,27.5450
"10/15/2009 14:44:14",42.9059,-71.072754,1.02,0.00,-16.17,0,27.65745
"10/15/2009 14:44:15",42.905983,-71.07262,1.09,0.00,-16.17,0,27.65745
"10/15/2009 14:44:16",42.90603,-71.0725,1.09,0.00,-16.17,0,27.65745
"10/15/2009 14:44:17",42.906063,-71.072365,1.05,0.00,-15.85,0,27.65745
"10/15/2009 14:44:18",42.906105,-71.07225,1.02,0.00,-16.17,0,27.65745
"10/15/2009 14:44:19",42.906105,-71.07212,1.09,0.00,-15.85,0,27.65745
"10/15/2009 14:44:20",42.906086,-71.07197,1.17,0.00,-16.17,0,27.65745
"10/15/2009 14:44:21",42.906063,-71.0718,1.29,12.56,-15.85,0,27.65745
"10/15/2009 14:44:22",42.90603,-71.07165,1.02,12.56,-15.85,0,27.65745
"10/15/2009 14:44:23",42.905933,-71.07142,1.02,12.56,-15.85,0,27.65745
"10/15/2009 14:44:24",42.905884,-71.07133,0.98,12.56,-15.85,0,27.65745
"10/15/2009 14:44:25",42.90587,-71.07131,1.02,12.56,-15.85,0,27.65745
"10/15/2009 14:44:27",42.90587,-71.07133,1.05,16.73,-15.85,0,27.65745
"10/15/2009 14:44:28",42.90587,-71.07133,0.98,16.73,-15.85,0,27.65745
"10/15/2009 14:44:29",42.90585,-71.07133,1.05,14.65,-15.85,0,27.65745
"10/15/2009 14:44:30",42.905804,-71.07134,1.05,16.73,-15.85,0,27.65745
"10/15/2009 14:44:31",42.90574,-71.07139,1.05,14.65,-15.85,0,27.65745
"10/15/2009 14:44:32",42.905647,-71.071434,1.02,14.65,-15.85,0,27.65745
"10/15/2009 14:44:33",42.905552,-71.0715,0.98,14.65,-15.85,0,27.65745
"10/15/2009 14:44:34",42.90542,-71.0716,1.09,14.65,-15.53,0,27.65745
"10/15/2009 14:44:35",42.90528,-71.07166,1.02,14.65,-15.53,0,27.65745
"10/15/2009 14:44:36",42.90515,-71.071754,1.02,14.65,-15.53,1,27.7699
"10/15/2009 14:44:37",42.90485,-71.071884,0.98,12.56,-15.53,0,27.7699
"10/15/2009 14:44:38",42.90468,-71.071945,1.02,12.56,-15.53,0,27.7699
"10/15/2009 14:44:39",42.904533,-71.072014,0.94,12.56,-15.53,0,27.7699
"10/15/2009 14:44:41",42.904385,-71.07207,0.98,12.56,-15.53,0,27.7699
"10/15/2009 14:44:42",42.904232,-71.07212,0.98,12.56,-15.53,0,27.7699
