time,accel
"Jul 6 2009 03:29:17",1.00
"Jul 6 2009 03:29:17",1.00
"Jul 6 2009 03:29:17",40.00
"Jul 6 2009 03:29:17",0.00
"Jul 6 2009 03:29:17",2.00
"Jul 6 2009 03:29:17",4.00
"Jul 6 2009 03:29:17",4.00
"Jul 6 2009 03:29:18",24.00
"Jul 6 2009 03:29:18",43.00
"Jul 6 2009 03:29:18",27.00
"Jul 6 2009 03:29:18",21.00
"Jul 6 2009 03:29:18",0.00
"Jul 6 2009 03:29:18",0.00
"Jul 6 2009 03:29:18",0.00
"Jul 6 2009 03:29:18",0.00
"Jul 6 2009 03:29:19",0.00
"Jul 6 2009 03:29:19",0.00
"Jul 6 2009 03:29:19",0.00
"Jul 6 2009 03:29:19",0.00
"Jul 6 2009 03:29:19",0.00
"Jul 6 2009 03:29:19",0.00
"Jul 6 2009 03:29:19",0.00
"Jul 6 2009 03:29:20",0.00
"Jul 6 2009 03:29:20",0.00
"Jul 6 2009 03:29:20",0.00
"Jul 6 2009 03:29:20",0.00
"Jul 6 2009 03:29:20",0.00
"Jul 6 2009 03:29:20",0.00
"Jul 6 2009 03:29:20",0.00
"Jul 6 2009 03:29:20",0.00
"Jul 6 2009 03:29:21",0.00
"Jul 6 2009 03:29:21",1.00
"Jul 6 2009 03:29:21",1.00
"Jul 6 2009 03:29:21",2.00
"Jul 6 2009 03:29:21",4.00
"Jul 6 2009 03:29:21",7.00
"Jul 6 2009 03:29:21",9.00
"Jul 6 2009 03:29:21",12.00
"Jul 6 2009 03:29:22",14.00
"Jul 6 2009 03:29:22",16.00
"Jul 6 2009 03:29:22",54.00
"Jul 6 2009 03:29:22",52.00
"Jul 6 2009 03:29:22",50.00
"Jul 6 2009 03:29:22",48.00
"Jul 6 2009 03:29:22",31.00
"Jul 6 2009 03:29:22",30.00
"Jul 6 2009 03:29:23",23.00
"Jul 6 2009 03:29:23",2.00
"Jul 6 2009 03:29:23",41.00
"Jul 6 2009 03:29:23",0.00
"Jul 6 2009 03:29:23",0.00
"Jul 6 2009 03:29:23",1.00
"Jul 6 2009 03:29:23",1.00
"Jul 6 2009 03:29:23",1.00
"Jul 6 2009 03:29:24",1.00
"Jul 6 2009 03:29:24",1.00
"Jul 6 2009 03:29:24",1.00
"Jul 6 2009 03:29:24",1.00
"Jul 6 2009 03:29:24",0.00
"Jul 6 2009 03:29:24",0.00
"Jul 6 2009 03:29:24",0.00
"Jul 6 2009 03:29:24",0.00
"Jul 6 2009 03:29:25",0.00
"Jul 6 2009 03:29:25",0.00
"Jul 6 2009 03:29:25",0.00
"Jul 6 2009 03:29:25",0.00
"Jul 6 2009 03:29:25",0.00
"Jul 6 2009 03:29:25",0.00
"Jul 6 2009 03:29:25",0.00
"Jul 6 2009 03:29:25",0.00
"Jul 6 2009 03:29:26",40.00
"Jul 6 2009 03:29:26",0.00
"Jul 6 2009 03:29:26",25.00
