time,latitude,longitude,acceleration,light,temperature,sound,"cricket temperature probe",altitude
"4/7/2000 21:02:36",-55.6,-2.9439983,0.00,812.42,20.24,0,18.0992,63461
"3/30/2128 20:00:00",,,0.90,811.20,20.24,0,18.0992,60000
"3/30/2128 20:00:00",,,0.86,811.20,20.24,0,17.98675,60000
"3/30/2128 20:00:00",,,0.86,811.20,20.24,0,18.0992,60000
"3/30/2128 20:00:00",,,0.98,812.42,20.24,0,18.21165,60000
"3/30/2128 20:00:00",,,0.94,813.64,20.24,0,18.43655,60000
"3/30/2128 20:00:00",,,0.98,812.42,19.92,0,18.5490,60000
"3/30/2128 20:00:00",,,0.90,813.64,19.92,0,18.66145,60000
"3/30/2128 20:00:00",,,0.86,806.31,19.92,0,18.66145,60000
"3/30/2128 20:00:00",,,0.94,807.54,19.92,0,18.7739,60000
"3/30/2128 20:00:00",,,0.94,812.42,19.92,0,18.7739,60000
"4/7/2000 21:02:36",-55.6,-2.9439983,0.00,812.42,20.24,0,18.0992,63461
"3/30/2128 20:00:00",,,0.90,811.20,20.24,0,18.0992,60000
"3/30/2128 20:00:00",,,0.86,811.20,20.24,0,17.98675,60000
"3/30/2128 20:00:00",,,0.86,811.20,20.24,0,18.0992,60000
"3/30/2128 20:00:00",,,0.98,812.42,20.24,0,18.21165,60000
"3/30/2128 20:00:00",,,0.94,813.64,20.24,0,18.43655,60000
"3/30/2128 20:00:00",,,0.98,812.42,19.92,0,18.5490,60000
"3/30/2128 20:00:00",,,0.90,813.64,19.92,0,18.66145,60000
"3/30/2128 20:00:00",,,0.86,806.31,19.92,0,18.66145,60000
"3/30/2128 20:00:00",,,0.94,807.54,19.92,0,18.7739,60000
"3/30/2128 20:00:00",,,0.94,812.42,19.92,0,18.7739,60000
"4/7/2000 20:03:38",-55.6,-2.9444249,0.00,807.54,19.60,1,16.7498,62427
"3/30/2128 20:00:00",,,0.98,811.20,19.60,0,16.5249,60000
"3/30/2128 20:00:00",,,0.86,812.42,19.28,0,16.18755,60000
"3/30/2128 20:00:00",,,0.82,812.42,19.28,0,15.96265,60000
"3/30/2128 20:00:00",,,1.05,812.42,19.28,0,15.73775,60000
"3/30/2128 20:00:00",,,0.86,812.42,19.28,0,15.51285,60000
"3/30/2128 20:00:00",,,0.90,811.20,18.96,0,15.28795,60000
"3/30/2128 20:00:00",,,1.41,809.98,18.96,0,15.06305,60000
"3/30/2128 20:00:00",,,1.33,808.76,18.96,0,15.06305,60000
"3/30/2128 20:00:00",,,0.94,807.54,18.96,0,14.9506,60000
"3/30/2128 20:00:00",,,0.70,806.31,18.96,0,14.7257,60000
"4/7/2000 20:03:38",-55.6,-2.9444249,0.00,807.54,19.60,1,16.7498,62427
"3/30/2128 20:00:00",,,0.98,811.20,19.60,0,16.5249,60000
"3/30/2128 20:00:00",,,0.86,812.42,19.28,0,16.18755,60000
"3/30/2128 20:00:00",,,0.82,812.42,19.28,0,15.96265,60000
"3/30/2128 20:00:00",,,1.05,812.42,19.28,0,15.73775,60000
"3/30/2128 20:00:00",,,0.86,812.42,19.28,0,15.51285,60000
"3/30/2128 20:00:00",,,0.90,811.20,18.96,0,15.28795,60000
"3/30/2128 20:00:00",,,1.41,809.98,18.96,0,15.06305,60000
"3/30/2128 20:00:00",,,1.33,808.76,18.96,0,15.06305,60000
"3/30/2128 20:00:00",,,0.94,807.54,18.96,0,14.9506,60000
"3/30/2128 20:00:00",,,0.70,806.31,18.96,0,14.7257,60000
"4/7/2000 20:04:04",-55.6,-2.9422917,0.00,795.21,18.31,0,13.1514,61923
"3/30/2128 20:00:00",,,0.78,795.21,18.31,0,13.03895,60000
"3/30/2128 20:00:00",,,0.74,796.45,18.31,0,12.9265,60000
"3/30/2128 20:00:00",,,1.05,798.92,18.31,0,12.81405,60000
"3/30/2128 20:00:00",,,0.98,800.16,18.31,0,12.7016,60000
"3/30/2128 20:00:00",,,0.90,803.86,18.31,0,12.58915,60000
"3/30/2128 20:00:00",,,0.86,805.09,18.31,0,12.4767,60000
"3/30/2128 20:00:00",,,1.17,807.54,17.99,0,12.36425,60000
"3/30/2128 20:00:00",,,0.82,809.98,17.99,0,12.2518,60000
"3/30/2128 20:00:00",,,0.86,807.54,17.99,1,12.2518,60000
"3/30/2128 20:00:00",,,0.78,806.31,17.99,0,12.2518,60000
"4/7/2000 20:04:04",-55.6,-2.9422917,0.00,795.21,18.31,0,13.1514,61923
"3/30/2128 20:00:00",,,0.78,795.21,18.31,0,13.03895,60000
"3/30/2128 20:00:00",,,0.74,796.45,18.31,0,12.9265,60000
"3/30/2128 20:00:00",,,1.05,798.92,18.31,0,12.81405,60000
"3/30/2128 20:00:00",,,0.98,800.16,18.31,0,12.7016,60000
"3/30/2128 20:00:00",,,0.90,803.86,18.31,0,12.58915,60000
"3/30/2128 20:00:00",,,0.86,805.09,18.31,0,12.4767,60000
"3/30/2128 20:00:00",,,1.17,807.54,17.99,0,12.36425,60000
"3/30/2128 20:00:00",,,0.82,809.98,17.99,0,12.2518,60000
"3/30/2128 20:00:00",,,0.86,807.54,17.99,1,12.2518,60000
"3/30/2128 20:00:00",,,0.78,806.31,17.99,0,12.2518,60000
"4/7/2000 20:04:20",-55.6,-2.9414382,0.00,801.39,17.67,0,11.5771,61386
"3/30/2128 20:00:00",,,0.74,809.98,17.67,0,11.5771,60000
"3/30/2128 20:00:00",,,1.05,823.30,17.67,0,11.5771,60000
"3/30/2128 20:00:00",,,1.09,783.95,17.67,0,11.46465,60000
